# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
-0.08630022	0.05863362	499.90527344	0.09690508	0.04283107	0.90175754	-0.33642554	0.27138758	2108.00000000	0.00000000	493.85177612	500.00000000	554.36529541	0.00000000	0.00000000
0.05760850	-0.05597026	499.98657227	0.07835983	0.00584137	0.96879697	0.08255064	0.23370457	769.00000000	0.00000000	453.03720093	500.00000000	516.09356689	0.00000000	0.00000000
0.00923707	-0.00269562	499.99865723	0.07361736	-0.05232782	0.92956120	-0.28674039	0.23172390	0.00000000	753.00000000	556.28857422	500.00000000	428.77380371	102.07514191	0.00000000
0.04498051	0.08778430	500.01745605	-0.01373462	-0.07079522	0.85848224	-0.51081556	-0.04556024	0.00000000	1369.00000000	455.11633301	500.00000000	464.85665894	109.39716339	0.00000000
0.02659755	0.07522324	500.01306152	0.05303169	0.03814698	0.86437875	-0.07696291	0.49691653	0.00000000	1335.00000000	459.57104492	500.00000000	491.07934570	81.33132935	0.00000000
0.06662480	0.06331154	500.00000000	-0.06987006	0.05683640	0.89841515	-0.04806507	-0.43650889	1530.00000000	0.00000000	433.11056519	500.00000000	556.52740479	0.00000000	0.00000000
0.01535966	-0.00646825	500.16937256	0.02343064	0.05995337	0.95422208	-0.08915062	-0.28550375	713.00000000	0.00000000	491.85604858	500.00000000	524.16241455	0.00000000	0.00000000
0.06153388	-0.08363584	500.04595947	0.03711544	-0.05838184	0.97730094	-0.11994447	0.17463171	493.00000000	0.00000000	458.46292114	500.00000000	511.65859985	0.00000000	0.00000000
0.10494045	0.02443486	532.59545898	-0.09031754	0.06081086	0.88668299	-0.31120321	-0.34197342	6243.00000000	0.00000000	461.14663696	500.00000000	600.65307617	0.00000000	0.00000000
0.63488793	0.07265077	499.64538574	0.50461423	-0.06618534	0.81995678	-0.50654286	0.26661813	0.00000000	1777.00000000	494.80508423	500.00000000	468.65780640	131.23258972	0.00000000
-0.04198132	-0.07534806	500.00225830	-0.04500987	0.07368594	0.97616422	-0.18371782	0.11554718	540.00000000	0.00000000	490.00299072	500.00000000	512.21197510	0.00000000	0.00000000
0.02567226	0.07705609	500.05828857	0.04163031	-0.08854748	0.96741021	-0.17479536	0.18320489	620.00000000	0.00000000	470.76821899	500.00000000	516.90863037	0.00000000	0.00000000
0.07943884	-0.01082644	500.03674316	-0.02029404	0.09855420	0.97899002	0.15546595	-0.13194251	573.00000000	0.00000000	445.83477783	500.00000000	510.76568604	0.00000000	0.00000000
-0.01011156	-0.10918844	500.03137207	-0.02195804	0.05364299	0.98771155	-0.07461775	0.13732481	360.00000000	0.00000000	456.33438110	500.00000000	506.25222778	0.00000000	0.00000000
-0.00328678	-0.08884127	499.99517822	-0.08443544	-0.03161797	0.91726261	-0.05668361	0.39422870	1647.00000000	0.00000000	459.53613281	500.00000000	545.08862305	0.00000000	0.00000000
0.01892993	-0.11580746	499.97149658	0.04039668	0.02932050	0.88922048	0.24498910	-0.38635123	0.00000000	1093.00000000	436.29928589	500.00000000	470.55786133	85.17967987	0.00000000
