#lambda/nm	C1
208.295	464.6
208.67	429.8
209.045	388.6
209.419	398.4
209.794	527.2
210.169	513.4
210.544	614.2
210.919	536.4
211.295	521.6
211.67	530.2
212.045	528
212.421	530.6
212.796	552.4
213.172	526.8
213.547	528.4
213.923	527.2
214.299	527.8
214.675	523.4
215.051	526.6
215.427	532.6
215.803	541.2
216.179	531.2
216.555	523.4
216.932	536.2
217.308	533.2
217.684	528.6
218.061	536.4
218.438	527.4
218.814	523.4
219.191	537.8
219.568	526.4
219.945	522.2
220.322	540.8
220.699	520
221.076	536.4
221.453	535.6
221.83	518.6
222.208	519.4
222.585	528.6
222.962	533.4
223.34	525.4
223.717	528.2
224.095	525.2
224.473	530.4
224.851	522
225.229	519.2
225.607	539.8
225.985	512.8
226.363	524.4
226.741	527.6
227.119	526.6
227.497	534.4
227.876	517.8
228.254	529.2
228.633	543.2
229.011	534.2
229.39	528.8
229.769	531.8
230.148	533.6
230.527	549.8
230.905	532
231.284	525.8
231.664	524.4
232.043	544.6
232.422	542.2
232.801	520
233.181	529.8
233.56	527.2
233.94	528.8
234.319	512.6
234.699	525.6
235.079	571
235.458	558.4
235.838	544.4
236.218	524.8
236.598	519.4
236.978	521.8
237.358	532.4
237.738	518.6
238.119	527.6
238.499	516
238.88	521.2
239.26	542.4
239.641	521.2
240.021	524.6
240.402	524
240.783	524.8
241.163	524.6
241.544	528.4
241.925	526.2
242.306	547.8
242.687	520.8
243.069	531.6
243.45	533.2
243.831	524.2
244.212	523.2
244.594	559
244.975	526
245.357	526.8
245.739	523.4
246.12	526
246.502	532
246.884	521.6
247.266	527
247.648	531.6
248.03	544.6
248.412	526.4
248.794	530
249.176	531
249.559	530.4
249.941	517.8
250.323	518.4
250.706	520.4
251.089	531.2
251.471	535.8
251.854	534.4
252.237	535.4
252.62	537.6
253.002	529
253.385	522.8
253.769	538.8
254.152	525.6
254.535	528.2
254.918	523.8
255.301	527
255.685	524.8
256.068	522.8
256.452	541.2
256.835	538.4
257.219	524.6
257.603	535
257.986	518.2
258.37	534.6
258.754	517.6
259.138	526.6
259.522	534
259.906	531
260.29	519.4
260.675	530
261.059	527
261.443	516.8
261.828	532.8
262.212	525.8
262.597	512.6
262.981	520
263.366	529.4
263.751	528.2
264.136	531.2
264.521	526.2
264.906	521
265.291	533.2
265.676	523.6
266.061	537
266.446	531.4
266.831	528.4
267.217	541.2
267.602	532.6
267.987	534.4
268.373	527
268.759	538.4
269.144	526.4
269.53	531.2
269.916	527.4
270.302	528.6
270.688	528.8
271.074	534.6
271.46	539.2
271.846	553.8
272.232	529.6
272.618	518.6
273.004	524.2
273.391	535.2
273.777	532.2
274.164	530.4
274.55	536.4
274.937	527.8
275.324	523.6
275.71	532.6
276.097	529.6
276.484	525.6
276.871	528.2
277.258	525.8
277.645	522.8
278.032	526.6
278.419	528.8
278.807	535.4
279.194	521.2
279.581	519.4
279.969	531.6
280.356	526
280.744	526.4
281.131	545.6
281.519	534
281.907	521.2
282.295	524.8
282.682	530
283.07	529.4
283.458	539
283.846	527.6
284.235	535
284.623	535.6
285.011	525.4
285.399	531.4
285.788	526
286.176	518.6
286.565	535.2
286.953	520.8
287.342	529.8
287.731	513
288.119	524.2
288.508	522.2
288.897	531.2
289.286	528.2
289.675	526
290.064	536.4
290.453	528.4
290.821	522
291.21	539.6
291.599	531.2
291.989	526.6
292.378	529.2
292.768	541
293.157	532.6
293.547	533.4
293.936	524
294.326	528.6
294.716	532.6
295.106	519.8
295.496	529.4
295.886	531
296.276	524.6
296.666	525.8
297.056	518.6
297.446	517.4
297.836	532
298.227	521.8
298.617	528.8
299.008	533
299.398	526.6
299.789	519.6
300.179	526.4
300.57	541.2
300.961	523.8
301.352	523
301.742	533.8
302.133	523.4
302.524	523.6
302.915	526.6
303.307	518.8
303.698	535.6
304.089	534.4
304.48	522.2
304.872	528.6
305.263	531
305.655	526.8
306.046	530.6
306.438	530
306.829	517.8
307.221	534.6
307.613	532.4
308.005	525.4
308.397	531.8
308.789	543
309.181	546.4
309.573	547.6
309.965	548.6
310.357	533
310.749	535
311.142	524
311.534	523.8
311.926	533.8
312.319	526.4
312.711	522.6
313.104	537.8
313.497	520
313.889	554
314.282	539.6
314.675	546.4
315.068	530.8
315.461	536.8
315.854	554.4
316.247	533.2
316.64	523.8
317.033	523.4
317.405	532
317.798	530.8
318.192	530
318.585	523.8
318.979	531.4
319.372	522.4
319.766	516.8
320.16	537.6
320.553	546.2
320.947	543
321.341	532.2
321.735	536.2
322.129	520.6
322.523	539.6
322.917	521.4
323.311	530.6
323.705	529.4
324.099	529.6
324.494	549.2
324.888	533.8
325.282	524.4
325.677	544.6
326.071	540
326.466	532.8
326.861	532.6
327.255	547.8
327.65	540.6
328.045	544.8
328.44	533.4
328.835	528
329.23	523.8
329.625	543.2
330.02	526.6
330.415	545.8
330.81	531
331.206	530.2
331.601	520.4
331.996	535.8
332.37	541.8
332.766	521.2
333.161	544.6
333.557	526
333.953	531
334.348	853.2
334.744	530
335.14	523.2
335.536	524.6
335.932	541.6
336.328	531.8
336.724	544.6
337.12	525
337.516	529
337.913	530.4
338.309	538.8
338.705	532.8
339.102	538.4
339.498	523.4
339.895	536.4
340.291	527
340.688	533.4
341.085	522.2
341.481	534.2
341.878	529
342.275	539.2
342.672	524.8
343.069	521.2
343.466	522.6
343.842	532
344.239	522.2
344.636	526.8
345.033	523
345.431	520.6
345.828	532.2
346.225	519.6
346.623	557
347.02	532
347.418	530.2
347.816	530
348.213	518.8
348.611	531.6
349.009	511.6
349.407	526.6
349.805	520.8
350.203	520
350.601	531.6
