#lambda/nm	C1
208.295	461
208.67	434
209.045	395.4
209.419	397
209.794	528.2
210.169	520.4
210.544	620.2
210.919	534.6
211.295	521.6
211.67	529.8
212.045	520.8
212.421	529.6
212.796	556.4
213.172	514.8
213.547	523.6
213.923	520.8
214.299	528.6
214.675	534.6
215.051	532.8
215.427	535.8
215.803	545
216.179	535.6
216.555	524.8
216.932	536
217.308	529.8
217.684	525.2
218.061	538.2
218.438	528.2
218.814	526.2
219.191	537.6
219.568	519.6
219.945	527.6
220.322	528.4
220.699	534
221.076	537
221.453	530.8
221.83	517
222.208	525.2
222.585	525.6
222.962	528
223.34	542.8
223.717	524
224.095	520.6
224.473	524
224.851	527.4
225.229	527.4
225.607	540.4
225.985	523.8
226.363	527
226.741	530.4
227.119	528.6
227.497	538.6
227.876	515.6
228.254	529.4
228.633	529.2
229.011	528.4
229.39	535.6
229.769	529.2
230.148	533
230.527	548.4
230.905	523.4
231.284	525.4
231.664	523.6
232.043	539.8
232.422	534
232.801	520
233.181	525.4
233.56	525
233.94	522.2
234.319	512.2
234.699	527.6
235.079	563.6
235.458	562.4
235.838	541.6
236.218	520.2
236.598	518.6
236.978	518.6
237.358	519
237.738	519
238.119	529
238.499	523
238.88	528
239.26	549.2
239.641	525.4
240.021	529.2
240.402	534.6
240.783	524.4
241.163	528.6
241.544	535.6
241.925	533
242.306	540.2
242.687	522.4
243.069	537.2
243.45	534.6
243.831	530.2
244.212	530.2
244.594	555.4
244.975	541.2
245.357	537.6
245.739	524.6
246.12	531.8
246.502	540.2
246.884	532.2
247.266	528
247.648	534.8
248.03	545.8
248.412	530
248.794	535.2
249.176	520
249.559	535.4
249.941	524.8
250.323	523.4
250.706	530.2
251.089	526.2
251.471	536.8
251.854	524.8
252.237	526.4
252.62	534
253.002	527.2
253.385	531.4
253.769	539.4
254.152	525.2
254.535	538.8
254.918	527.4
255.301	523.6
255.685	524.2
256.068	517.8
256.452	545.8
256.835	538.2
257.219	534.8
257.603	533.6
257.986	520.6
258.37	531.8
258.754	513.8
259.138	524.4
259.522	546.8
259.906	526.8
260.29	533.4
260.675	528.8
261.059	528.4
261.443	520.8
261.828	527.4
262.212	531.2
262.597	514.4
262.981	522
263.366	529.2
263.751	530.6
264.136	521.2
264.521	531.4
264.906	517.8
265.291	529.4
265.676	524.8
266.061	537.8
266.446	544.2
266.831	536.6
267.217	539.4
267.602	536.6
267.987	529.4
268.373	527.6
268.759	536
269.144	536.4
269.53	527.6
269.916	524.4
270.302	529.2
270.688	537.4
271.074	537
271.46	529.6
271.846	561.2
272.232	526.2
272.618	516.8
273.004	530
273.391	543.4
273.777	536.6
274.164	530.8
274.55	534.4
274.937	525.2
275.324	529.4
