#lambda/nm	C1
208.295	inf
208.67	inf
209.045	inf
209.419	inf
209.794	inf
210.169	inf
210.544	inf
210.919	inf
211.295	inf
211.67	inf
212.045	inf
212.421	inf
212.796	inf
213.172	inf
213.547	inf
213.923	inf
214.299	inf
214.675	inf
215.051	inf
215.427	inf
215.803	inf
216.179	inf
216.555	inf
216.932	inf
217.308	inf
217.684	inf
218.061	inf
218.438	inf
218.814	inf
219.191	inf
219.568	inf
219.945	inf
220.322	inf
220.699	inf
221.076	inf
221.453	inf
221.83	inf
222.208	inf
222.585	inf
222.962	inf
223.34	inf
223.717	inf
224.095	inf
224.473	inf
224.851	inf
225.229	inf
225.607	inf
225.985	inf
226.363	inf
226.741	inf
227.119	inf
227.497	inf
227.876	inf
228.254	inf
228.633	inf
229.011	inf
229.39	inf
229.769	inf
230.148	inf
230.527	inf
230.905	inf
231.284	inf
231.664	inf
232.043	inf
232.422	inf
232.801	inf
233.181	inf
233.56	inf
233.94	inf
234.319	inf
234.699	inf
235.079	inf
235.458	inf
235.838	inf
236.218	inf
236.598	inf
236.978	inf
237.358	inf
237.738	inf
238.119	inf
238.499	inf
238.88	inf
239.26	inf
239.641	inf
240.021	inf
240.402	inf
240.783	inf
241.163	inf
241.544	inf
241.925	inf
242.306	inf
242.687	inf
243.069	inf
243.45	inf
243.831	inf
244.212	inf
244.594	inf
244.975	inf
245.357	inf
245.739	inf
246.12	inf
246.502	inf
246.884	inf
247.266	inf
247.648	inf
248.03	inf
248.412	inf
248.794	inf
249.176	inf
249.559	inf
249.941	inf
250.323	inf
250.706	inf
251.089	inf
251.471	inf
251.854	inf
252.237	inf
252.62	inf
253.002	inf
253.385	inf
253.769	inf
254.152	inf
254.535	inf
254.918	inf
255.301	inf
255.685	inf
256.068	inf
256.452	inf
256.835	inf
257.219	inf
257.603	inf
257.986	inf
258.37	inf
258.754	inf
259.138	inf
259.522	inf
259.906	inf
260.29	inf
260.675	inf
261.059	inf
261.443	inf
261.828	inf
262.212	inf
262.597	inf
262.981	inf
263.366	inf
263.751	inf
264.136	inf
264.521	inf
264.906	inf
265.291	inf
265.676	inf
266.061	inf
266.446	inf
266.831	inf
267.217	inf
267.602	inf
267.987	inf
268.373	inf
268.759	inf
269.144	inf
269.53	inf
269.916	inf
270.302	inf
270.688	inf
271.074	inf
271.46	inf
271.846	inf
272.232	inf
272.618	inf
273.004	inf
