#lambda/nm	DC	C1
208.295	465.8	461.2
208.67	432.8	434
209.045	389.6	394.6
209.419	396.6	398.6
209.794	525.8	536
210.169	524	534.8
210.544	653	655
210.919	580.8	579.6
211.295	569.2	572.4
211.67	580.4	576.8
212.045	572.6	569.8
212.421	576.2	575.8
212.796	603.6	606.2
213.172	575	574.4
213.547	590.8	573.8
213.923	579	574.6
214.299	571.2	580.8
214.675	590.6	589.2
215.051	593.6	597.6
215.427	590.2	598
215.803	600	613.6
216.179	604.2	602
216.555	594.2	595.2
216.932	612.2	615.6
217.308	608.2	609.4
217.684	609.4	606.8
218.061	607.4	616.4
218.438	614.4	613.4
218.814	606.4	612.8
219.191	625.8	634.4
219.568	622.6	620.4
219.945	620	615.6
220.322	638.8	623.4
220.699	626.2	636.2
221.076	642.6	638.2
221.453	640.4	641.8
221.83	633.4	628.8
222.208	634.8	634.4
222.585	631.4	639.4
222.962	641.6	644.6
223.34	646	649.4
223.717	652	644.8
224.095	647.2	635.6
224.473	652.2	658.4
224.851	647.6	646.4
225.229	639.4	657.4
225.607	672.8	672.2
225.985	652	663
226.363	658.2	664.2
226.741	667.2	664
227.119	668.4	664.8
227.497	684.8	679.8
227.876	667.6	665.4
228.254	690.6	680.6
228.633	681.6	688.8
229.011	680.4	683
229.39	676.2	691.6
229.769	694	700.6
230.148	685	696.4
230.527	714.6	718.4
230.905	694.8	694.2
231.284	700.6	706.8
231.664	702.6	703.8
232.043	717	724.8
232.422	713.2	718.8
232.801	719.2	712.2
233.181	728.4	731.2
233.56	718	726.2
233.94	739.4	742
234.319	727	726.4
234.699	735.6	743.4
235.079	773.6	780.8
235.458	784.8	792.4
235.838	776.2	783
236.218	761.8	763.8
236.598	757.4	767
236.978	778.4	765.4
237.358	773.6	780
237.738	777.4	787.4
238.119	798	796.4
238.499	779.6	778
238.88	798.4	784.8
239.26	813.2	810.8
239.641	787	799
240.021	798.4	798.8
240.402	807	816.6
240.783	819.8	822
241.163	823.6	809.8
241.544	817.4	825
241.925	817.4	834.8
242.306	840.8	835.6
242.687	818	813.4
243.069	829.2	824
243.45	823.2	828
243.831	811.4	813.2
244.212	801	800.6
244.594	837.6	828.6
244.975	809	802.4
245.357	788.2	794.8
245.739	782.2	782.4
246.12	790	774.4
246.502	777.8	778
246.884	760.2	762.8
247.266	753.4	749.2
247.648	745	746.6
248.03	757.8	762.8
248.412	726.2	732
248.794	718.8	728
249.176	710	714.4
249.559	711.6	715.4
249.941	689.2	695.2
250.323	691.2	683.2
250.706	678	678.4
251.089	673.6	666.2
251.471	665.2	671.2
251.854	664.8	663.6
252.237	650.2	659
252.62	652.4	655.6
253.002	641.2	643.4
253.385	629	648.4
253.769	651.2	650.8
254.152	634	628.4
254.535	621.8	634.6
254.918	621	609.4
255.301	615.8	612.4
255.685	617.4	613.2
256.068	597.4	601.8
256.452	623.8	621.8
256.835	602.8	605.8
257.219	607.2	603.8
257.603	604.4	603.4
257.986	591.2	589.2
258.37	595.2	600.8
258.754	589.2	583.2
259.138	598.8	596.6
259.522	597.2	597.6
259.906	594.6	592.8
260.29	597.6	590.2
260.675	587.2	581.2
261.059	587.6	584.4
261.443	585	572
261.828	595.2	589.6
262.212	598	591.4
262.597	577	581.2
262.981	583.6	580.8
263.366	585.2	583
263.751	584.6	582.2
264.136	578.2	568.8
264.521	578.8	587.8
264.906	576.4	580.2
265.291	590.8	596.2
265.676	580.8	584.4
266.061	591.4	590.2
266.446	588.4	601.4
266.831	585.6	591.6
267.217	594	606.8
267.602	593	589.2
267.987	592.6	587.2
268.373	578	586.8
268.759	590.6	594.2
269.144	584.4	591.6
269.53	588.8	586.2
269.916	586.6	586.2
270.302	581.6	585
270.688	590	592.4
271.074	591	594.2
271.46	595.8	598.4
271.846	610.8	612
272.232	588.2	586.4
272.618	586.2	582.4
273.004	588.4	577.4
273.391	603	608.4
273.777	592	601.4
274.164	600	589.6
274.55	589	595.4
274.937	598.8	588.2
275.324	585.6	587.4
275.71	596	595
276.097	593.8	593.2
276.484	577.2	583.6
276.871	591	585
277.258	590.8	600
277.645	575.8	580.2
278.032	590.2	587.4
278.419	585.2	586.6
278.807	592.4	590.4
279.194	584.4	578.6
279.581	585.4	588.6
279.969	592.6	596.8
280.356	598.8	586.2
280.744	581.6	580.6
281.131	606	604.4
281.519	596	604.4
281.907	591	593.2
282.295	585.8	589.2
282.682	595.4	597
283.07	590.8	588.2
283.458	589.2	595
283.846	596.2	592.6
284.235	597.8	597.2
284.623	599.2	598
285.011	577.6	585
285.399	588.4	588.4
285.788	588.8	590.6
286.176	584.8	579.6
286.565	596.4	594
286.953	577.6	582.8
287.342	584.2	590.8
287.731	588	589
288.119	583.8	584.6
288.508	593.6	588.8
288.897	587.8	587.4
289.286	583.6	576
289.675	591.4	592.6
290.064	600.4	599.6
290.453	589.6	587.6
290.821	593.4	589
291.21	603.6	606.4
291.599	585.6	586.8
291.989	597.2	589.6
292.378	597.8	599
292.768	603.6	607.6
293.157	593.2	592.2
293.547	596	593.2
293.936	595.6	585
294.326	590.4	587.6
294.716	595.8	598
295.106	583.2	590.4
295.496	588	603.6
295.886	601.2	597.4
296.276	592.4	587
296.666	592.8	584
297.056	589.6	590.2
297.446	573.8	588.2
297.836	608	608.2
298.227	582.6	594.2
298.617	595.8	593
299.008	601.4	602.2
299.398	589	589.8
299.789	590.8	589
300.179	597.4	592.8
300.57	602.8	590.8
300.961	587.4	578.6
301.352	590.4	586.2
301.742	607.2	597.2
302.133	593.8	588.8
302.524	592.8	588.4
302.915	595	584.4
303.307	580.4	586.4
303.698	600.2	596.8
304.089	589.2	597.8
304.48	580.2	583.2
304.872	591	603
305.263	577.8	592
305.655	577.4	594.6
306.046	594	594.8
306.438	593.8	594.6
306.829	578.8	581.6
307.221	593.2	606.6
307.613	590.8	595.4
308.005	596.8	597.6
308.397	600	600.8
308.789	609.6	600.4
309.181	595.6	609.6
309.573	600	608.8
309.965	603.6	596.4
310.357	587	579
310.749	597.6	604.4
311.142	580.4	584.2
311.534	587.6	586
311.926	592.6	602.2
312.319	582.2	589.6
312.711	580	588.4
313.104	603.2	606.8
313.497	590.6	585.8
313.889	615.6	625.4
314.282	608.6	604
314.675	611.4	616.2
315.068	600.6	593.8
315.461	597.4	593.4
315.854	620.6	612.4
316.247	597.4	604.6
316.64	589.4	589.4
317.033	585.2	595.2
317.405	596.4	595.2
317.798	588.6	586.6
318.192	589.6	586.2
318.585	583.2	591.4
318.979	592	596
319.372	586.8	581.4
319.766	586.2	592.6
320.16	601.6	605.8
320.553	608.8	599.4
320.947	612.4	616
321.341	589.2	591.6
321.735	588.8	590.2
322.129	576.8	582.2
322.523	617.8	609
322.917	585.4	584.8
323.311	601.8	603.2
323.705	596.4	592.6
324.099	595.6	596.6
324.494	600	594.8
324.888	602.2	597.8
325.282	588.2	583.4
325.677	602.6	610.2
326.071	601	607.6
326.466	598.2	607.6
326.861	584.8	592.2
327.255	608.2	606.4
327.65	595	595.8
328.045	611	601.6
328.44	590	595.6
328.835	597.2	591.6
329.23	578.6	586.6
329.625	605.2	615.2
330.02	584	583.6
330.415	600.4	605.2
330.81	595	600.4
331.206	596.4	596.6
331.601	589	592.2
331.996	602	609.8
332.37	612.2	614.8
332.766	581.2	589
333.161	609.4	604.6
333.557	591.6	584.8
333.953	593.6	595
334.348	923.2	933.4
334.744	593.2	595.6
335.14	591.8	589
335.536	595.4	591.2
335.932	603.8	601.4
336.328	592.4	592.4
336.724	594.4	593
337.12	598.2	582.8
337.516	604.2	588.6
337.913	591.4	591
338.309	594.2	596
338.705	593.6	596.8
339.102	603.8	603.4
339.498	589	585.8
339.895	593	597.8
340.291	595.6	587.6
340.688	605	599.8
341.085	590.4	593.8
341.481	593	589.2
341.878	598.6	589.4
342.275	606.4	608.4
342.672	578.4	591
343.069	590.2	585.8
343.466	578.6	584.6
343.842	610.4	609.4
344.239	586.4	592.6
344.636	600.8	594.8
345.033	586	588.4
345.431	591.6	584.6
345.828	591.8	594
346.225	587.8	586.8
346.623	620.6	613.6
347.02	591.4	596.2
347.418	597	596
347.816	606.6	604.2
348.213	579	591.6
348.611	592	603
349.009	584.8	592.2
349.407	604	602.8
349.805	580.8	585.6
350.203	578.6	583
350.601	596.2	604.8
350.999	586.2	578.2
351.397	629.4	633.8
351.795	594.4	594.8
352.193	594	601.4
352.57	602.8	596.6
352.969	596.6	606
353.367	590	586.6
353.766	587.4	597
354.164	584.6	589.8
354.563	597.2	602.6
354.961	592.4	592.4
355.36	589	593.4
355.759	588.8	589.4
356.158	589	582.8
356.557	586.8	586.8
356.956	588.8	585
357.355	582.8	578.8
357.754	591.8	599.6
358.153	597.2	592
358.552	610.8	608.4
358.951	587.4	590.8
359.35	609.6	599
359.75	592.6	586.8
360.149	587.6	585.8
360.527	576	579.2
360.926	588.4	582
361.326	592.6	597.2
361.726	595	589.6
362.125	585.8	584.2
362.525	590.8	595.4
362.925	584.8	584.6
363.325	585	594.8
363.724	588	591.2
364.124	584.2	593.8
364.524	590.6	590.4
364.924	589.8	591
365.324	597.2	609.4
365.725	584.8	581.4
366.125	592.8	592
366.525	582.4	592.8
366.904	589.4	587.8
367.304	576.6	588
367.705	609.6	608
368.105	598.8	601.2
368.506	589.8	590.8
368.906	594	588.6
369.307	588.8	592.8
369.708	592	602
370.108	586.4	583.2
370.509	603	605.2
370.91	595	588.4
371.311	597.4	595.4
371.712	596.8	596.6
372.113	596	602.8
372.514	585	591.2
372.894	583.4	592
373.295	583.8	593.4
373.696	606.2	600.4
374.097	591.2	612.6
374.499	624.8	629.2
374.9	602.6	596.2
375.301	582.2	588.8
375.703	605.8	598.4
376.105	592	592
376.506	602.2	610.8
376.908	609.2	599.2
377.309	599	593.2
377.711	594.8	598.6
378.113	596.4	589.8
378.493	608.2	603.8
378.895	597.8	595.6
379.297	598.4	607.8
379.699	583.8	588
380.102	595.4	603.2
380.504	598.6	590.4
380.906	595	598
381.308	620.6	621.2
381.71	598.8	606.8
382.113	603.6	611.2
382.515	600.4	603.4
382.918	603.2	607.2
383.299	603.4	597.4
383.701	609.2	610
384.104	599.6	604.6
384.507	585.4	597.2
384.909	599	605
385.312	587.8	594.8
385.715	586	591.6
386.118	594.8	604
386.521	591.4	590
386.924	616.6	611.4
387.327	600	595.6
387.709	599	586.2
388.112	588.2	588.2
388.515	598.8	606.6
388.918	598.8	597.8
389.322	603.8	610.2
389.725	603.2	599.8
390.129	624	620.2
390.532	608.2	609.2
390.936	607.2	602.4
391.339	603.4	604.6
391.743	610.8	599.6
392.125	601.6	599.6
392.529	616	615
392.933	620.6	622.4
393.337	601.8	605.4
393.74	607.4	604.2
394.144	612	608
394.548	606	598
394.953	607.6	613.4
395.357	612.6	612.2
395.761	608	606.2
396.144	615.8	611.2
396.548	605	600.2
396.952	616.4	605.2
397.357	608.8	610.8
397.761	607.2	607.6
398.166	614.8	608.6
398.57	617.2	617.6
398.975	600.2	597
399.379	622.2	619
399.763	664.8	660.2
400.168	610.4	622.4
400.572	606.6	622
400.977	614.6	619.2
401.382	628.6	628.8
401.787	622.6	624.8
402.192	640.6	640
402.597	638.6	640
403.002	617.4	614.6
403.386	637.6	649.2
403.791	645	652.6
404.197	639.6	636.6
404.602	639.2	652
405.007	649.2	654.2
405.413	651.2	651.8
405.818	654.2	659.8
406.224	656.6	660.2
406.608	672	667.2
407.014	669.8	666.8
407.42	692.8	700
407.825	692.2	701.4
408.231	716.8	712
408.637	710.8	714.2
409.043	743.6	733.4
409.449	741.4	731.8
409.834	743.2	752.8
410.24	781.2	778.6
410.646	798.4	786.8
411.052	807.4	811.6
411.458	830.6	837.2
411.865	841	861.6
412.271	880.8	890.6
412.677	897.4	893.8
413.062	934.4	924.4
413.469	928.8	948.8
413.875	993.2	995
414.282	1009.8	1010.4
414.689	1053.2	1053.6
415.095	1088.6	1103
415.502	1119.4	1115.8
415.888	1168.4	1158.4
416.294	1196	1194.4
416.701	1288.6	1296.6
417.108	1296.2	1296
417.515	1361.4	1363.4
417.923	1419.6	1432.4
418.33	1485.6	1481.4
418.715	1542.8	1546.2
419.123	1609.6	1622.6
