#lambda/nm	DC	C1
208.295	471.8	470.2
208.67	433.4	433.2
209.045	395.4	394.6
209.419	400.2	404.4
209.794	531.2	531
210.169	518.6	518
210.544	621.2	624.8
210.919	534.2	527.2
211.295	522.2	525.4
211.67	531.2	533.4
212.045	522	526.2
212.421	524.6	519.4
212.796	560.6	550.8
213.172	527.8	522.8
213.547	525.2	518.6
213.923	524.6	526.8
214.299	522	523.2
214.675	539	532.6
215.051	531	538.4
215.427	539.6	531.8
215.803	545.4	545.4
216.179	535.4	526.8
216.555	528	530.2
216.932	540.6	534
217.308	526.4	526.2
217.684	532	526.2
218.061	537.2	542.8
218.438	532.2	532.8
218.814	532	524.8
219.191	534.4	532.6
219.568	531.4	524.8
219.945	524	531
220.322	542.8	534.8
220.699	530.2	530
221.076	532.8	537.2
221.453	530.6	532.2
221.83	525.6	524.8
222.208	531.2	528.6
222.585	522	528.2
222.962	526	534
223.34	531.6	533.4
223.717	526	526.4
224.095	523.8	529.6
224.473	526.8	529.6
224.851	522.6	526
225.229	518	524.6
225.607	529	534.4
225.985	523.2	526.2
226.363	527.2	534
226.741	534.6	528.8
227.119	521.2	531
227.497	536	540.6
227.876	521.8	520.8
228.254	534.6	535.8
228.633	530	538.2
229.011	540.4	533
229.39	533.4	536.6
229.769	531.8	532.4
230.148	538.6	535.2
230.527	548.4	557.6
230.905	530	530.8
231.284	533.6	533.6
231.664	530.8	532.8
232.043	540.6	544.2
232.422	535.2	535.8
232.801	528.2	519
233.181	524	530.6
233.56	527.8	532
233.94	540	528.4
234.319	524	522.2
234.699	521	534.6
235.079	563.2	568.8
235.458	556.2	569
235.838	540.8	539.6
236.218	525.2	518.4
236.598	520.2	522.8
236.978	530.2	520.2
237.358	528	523.8
237.738	525.8	521.8
238.119	532.4	533.2
238.499	523.8	526.4
238.88	529.8	530.4
239.26	543.4	547.4
239.641	524	525
240.021	526	527.6
240.402	528.6	525.4
240.783	528.6	534.2
241.163	525	527.4
241.544	525.6	534.8
241.925	528.2	530
242.306	541	549.6
242.687	526.6	526
243.069	531.2	540
243.45	535.6	542.8
243.831	527.2	526.4
244.212	527.4	531.6
244.594	564.6	561.8
244.975	539.2	537.4
245.357	538	532.8
245.739	526.4	521.8
246.12	533.8	531
246.502	552.2	537.4
246.884	527	528.2
247.266	521.6	525
247.648	531.2	532.8
248.03	548	547.4
248.412	531.2	522.2
248.794	534.8	533.6
249.176	524	523.8
249.559	541	530.2
249.941	525.4	526.4
250.323	525.6	528.2
250.706	519.4	529.2
251.089	530.6	531.6
251.471	536.4	532.4
251.854	526.4	528.6
252.237	533.2	527.6
252.62	536.2	537.4
253.002	534.2	532.4
253.385	523.6	533.6
253.769	539.8	548
254.152	528.4	530.8
254.535	534.2	531
254.918	523.2	527
255.301	527.6	525
255.685	526.2	531.6
256.068	523.4	517
256.452	539.8	548.6
256.835	539.4	535.8
257.219	526.8	537.2
257.603	533.8	539
257.986	519.2	528.6
258.37	529.8	536.8
258.754	523.8	519.8
259.138	538.2	530.6
259.522	542	537.8
259.906	528	526
260.29	534.4	537.4
260.675	527.8	526.4
261.059	533.8	525.4
261.443	515.4	525.4
261.828	533.8	536.8
262.212	531.4	537.4
262.597	527.8	522.4
262.981	518.8	523.8
263.366	533	540.8
263.751	529.2	539
264.136	527.8	524.8
264.521	520.2	523.8
264.906	518.4	526
265.291	546	533
265.676	520.8	528.8
266.061	529	531.8
266.446	546.6	540.8
266.831	536	534.8
267.217	548.8	547.8
267.602	528	528.8
267.987	529.8	531.8
268.373	530.6	526
268.759	538.6	544.8
269.144	534.8	537.6
269.53	530.4	536
269.916	530.4	530.6
270.302	529.4	528
270.688	532.4	534.8
271.074	537	531
271.46	534.8	540.8
271.846	553.6	555.8
272.232	535	527.6
272.618	519.6	523.8
273.004	528.6	534
273.391	539.6	538.8
273.777	539.6	542.4
274.164	529.4	534.8
274.55	539.2	538.8
274.937	530.8	534.4
275.324	524.8	527.8
275.71	522	528.4
276.097	533.2	539.4
276.484	517.6	527
276.871	528.8	530.4
277.258	531.6	530.6
277.645	516.4	513.2
278.032	526	520.6
278.419	525.6	530.2
278.807	536	534.8
279.194	523.6	520.4
279.581	520	528.4
279.969	536.4	533.4
280.356	532.4	527.2
280.744	534.4	529.8
281.131	549.2	547.8
281.519	530	531.8
281.907	527.6	519.8
282.295	519.4	529.4
282.682	540.4	541
283.07	535.8	534.8
283.458	531.2	526.2
283.846	530.8	535
284.235	539.6	546.6
284.623	533.8	534.4
285.011	524.6	511.4
285.399	533.6	531.2
285.788	530.6	526.2
286.176	522.4	522
286.565	542.6	535.2
286.953	534.4	528.2
287.342	529.2	534.2
287.731	522.8	524.8
288.119	524	526
288.508	530.4	525.2
288.897	534.2	533.4
289.286	518.2	520
289.675	531	525.4
290.064	542.8	536.4
290.453	526.6	529.8
290.821	524.6	532
291.21	545.4	534.6
291.599	527.2	522.2
291.989	534.6	528.8
292.378	533.4	537.2
292.768	554.6	543
293.157	531.4	533.8
293.547	529.4	538
293.936	528.2	527
294.326	524.2	523.2
294.716	532	537
295.106	530.2	528.4
295.496	542	529.4
295.886	533.8	538.6
296.276	527.6	528
296.666	532.6	531.6
297.056	527.4	519
297.446	522.8	528
297.836	547.2	540.8
298.227	526	525.2
298.617	525.4	533.4
299.008	548.4	541
299.398	523.2	533.2
299.789	535.2	526.6
300.179	528.2	535
300.57	541.8	545.6
300.961	529.4	525.8
301.352	529	526.8
301.742	533.8	533.2
302.133	531	522.4
302.524	528.2	531.2
302.915	527.2	520
303.307	526	522.4
303.698	539.4	536.6
304.089	532	527.2
304.48	530.8	525.6
304.872	529.2	531.8
305.263	522.6	528.6
305.655	526.6	525.6
306.046	524	536.2
306.438	538	527.2
306.829	525.6	525
307.221	546.6	537.6
307.613	535.6	528
308.005	537.4	531.4
308.397	536.2	525.4
308.789	545.2	548.8
309.181	549.4	547.8
309.573	539.2	539.2
309.965	539	541.4
310.357	526.6	534.2
310.749	540	533.8
311.142	527.4	526.8
311.534	534.4	524.4
311.926	531	534.6
312.319	525.4	534.4
312.711	528.8	523.6
313.104	542	540.2
313.497	527	529.2
313.889	559	556
314.282	543.8	548
314.675	542.2	554.4
315.068	536.6	534.4
315.461	536.8	534.8
315.854	550.4	555
316.247	533.8	537.4
316.64	532.8	541.2
317.033	530.6	522.8
317.405	540.2	536.8
317.798	529.2	531.4
318.192	536.8	529.8
318.585	520	520.4
318.979	536.4	537.2
319.372	525.2	526.8
319.766	519.8	529.4
320.16	540.4	538.4
320.553	541.2	538
320.947	546	546.8
321.341	527	528.8
321.735	531.8	529
322.129	519.8	525.4
322.523	543	544.6
322.917	518.8	527.6
323.311	537.2	542
323.705	538.6	534
324.099	536	533.4
324.494	536.6	544.4
324.888	537.8	538
325.282	519.8	526.8
325.677	533.6	544.4
326.071	534	529.4
326.466	541.8	543.6
326.861	524.4	533.2
327.255	541.4	540.4
327.65	542.6	544.2
328.045	534.8	549.6
328.44	534.8	532.6
328.835	532.6	534.4
329.23	528.6	532.6
329.625	545.8	549.6
330.02	516.4	529.2
330.415	543.8	553.2
330.81	527.2	533.4
331.206	539.6	535.8
331.601	528.4	526.4
331.996	532.6	530.6
332.37	545	546
332.766	532	524
333.161	550.2	542.2
333.557	528	529
333.953	528	532.8
334.348	829.8	821.8
334.744	527.8	537.2
335.14	527.2	528.2
335.536	522	527.6
335.932	539.2	543
336.328	530.6	526.4
336.724	534	534.4
337.12	531.2	536.4
337.516	530.8	528.4
337.913	531	535.8
338.309	533.6	534.6
338.705	528.6	537.8
339.102	533.6	532.6
339.498	524.4	521
339.895	538.8	536.4
340.291	522.2	520.4
340.688	541.8	539.4
341.085	531.6	524
341.481	532.2	530.4
341.878	525.4	525.2
342.275	543.4	539
342.672	517.2	517
343.069	531.4	520.4
343.466	521.2	510.4
343.842	527.6	529.6
344.239	520.4	524
344.636	525.2	532.4
345.033	515.4	519.4
345.431	524.2	515.6
345.828	530	525.8
346.225	526.8	514.4
346.623	557	552.6
347.02	520	527.6
347.418	541.2	532.8
347.816	537.4	543.2
348.213	524.2	517.4
348.611	533.4	532.2
349.009	526.2	522.2
349.407	538.4	533.4
349.805	521.2	520.4
350.203	514.4	513.6
350.601	530	537.6
350.999	515.8	525.2
351.397	573.2	575.8
351.795	527.6	524.8
352.193	533.6	532.6
352.57	535	538
352.969	551.6	536.4
353.367	516.2	522.4
353.766	523.4	526.8
354.164	522.6	526.6
354.563	534.4	538.4
354.961	528.6	527
355.36	524.4	523.2
355.759	520	537.2
356.158	515	520
356.557	511.2	521.2
356.956	509.8	518
357.355	518.6	515.8
357.754	522.4	527.2
358.153	526.4	529
358.552	541	549.8
358.951	523.6	526.2
359.35	537.2	549.4
359.75	523.8	522.2
360.149	515.6	521.4
360.527	513	517
360.926	518.8	519.8
361.326	528.2	523.8
361.726	522.2	527.2
362.125	518.8	520.6
362.525	533.2	537
362.925	525.2	518
363.325	527.8	527.4
363.724	526.2	524.2
364.124	516.4	517
364.524	522.6	529.2
364.924	522.4	525.8
365.324	532.8	540.6
365.725	511.8	524.4
366.125	530.8	528.4
366.525	529	524
366.904	519.8	523.4
367.304	510.2	507
367.705	534.4	537
368.105	536.4	543.2
368.506	529.2	517.6
368.906	523.4	519.2
369.307	525	526.6
369.708	526.6	525.6
370.108	511.2	514.8
370.509	527	535
370.91	515	515
371.311	519.8	524.8
371.712	519.8	523.2
372.113	522.8	524.2
372.514	511.2	519
372.894	514.4	523.2
373.295	516.8	513.8
373.696	528.2	530.2
374.097	527	532.8
374.499	543.2	542
374.9	523	530
375.301	512.8	521.4
375.703	521.8	520.8
376.105	511.4	519.2
376.506	520.4	527.6
376.908	527.6	528.2
377.309	521.8	527.6
