#lambda/nm	C1
208.295	464.6
208.67	435.8
209.045	396.6
209.419	401.6
209.794	537.6
210.169	519
210.544	624.6
210.919	540.8
211.295	529.2
211.67	537.8
212.045	530
212.421	529.4
212.796	560.4
213.172	525.8
213.547	528.2
213.923	530
214.299	535.8
214.675	540.8
215.051	542.2
215.427	543.4
215.803	554.6
216.179	539
216.555	529.8
216.932	540.2
217.308	539
217.684	539.8
218.061	538.6
218.438	549.8
218.814	533.2
219.191	547.8
219.568	536.4
219.945	536.8
220.322	545
220.699	543.2
221.076	545.6
221.453	534.2
221.83	530
222.208	530
222.585	525
222.962	530.2
223.34	542.8
223.717	533.6
224.095	534.2
224.473	535.6
224.851	527
225.229	529
225.607	550.4
225.985	532
226.363	536.4
226.741	538.2
227.119	540.8
227.497	541.2
227.876	525.6
228.254	543.4
228.633	541.2
229.011	532
229.39	546.2
229.769	529.4
230.148	542.6
230.527	543.4
230.905	531.8
231.284	536.2
231.664	539.8
232.043	552.2
232.422	543
232.801	532.8
233.181	542
233.56	532.6
233.94	534.4
234.319	527.6
234.699	535
235.079	574.6
235.458	564.2
235.838	546
236.218	525.6
236.598	530.6
236.978	533.2
237.358	535.2
237.738	534.4
238.119	542
238.499	535.8
238.88	543.6
239.26	553.8
239.641	530.2
240.021	534.4
240.402	535
240.783	532.2
241.163	535.2
241.544	546.4
241.925	547
242.306	547.2
242.687	535.6
243.069	540.8
243.45	549.4
243.831	545
244.212	535.2
244.594	567.8
244.975	547.4
245.357	548.4
245.739	533.6
246.12	538.2
246.502	553.2
246.884	535.4
247.266	543
247.648	533
248.03	555.6
248.412	541.6
248.794	542.8
249.176	533.8
249.559	547.6
249.941	531.2
250.323	530.6
250.706	534.8
251.089	539.2
251.471	534.2
251.854	534
252.237	534.2
252.62	542.2
253.002	536
253.385	537.2
253.769	552.6
254.152	530
254.535	546
254.918	531
255.301	531.4
255.685	536.2
256.068	531
256.452	554.2
256.835	538.4
257.219	533
257.603	540
257.986	536.2
258.37	540.8
258.754	525
259.138	540
259.522	550.6
259.906	532.8
260.29	543.6
260.675	530.4
261.059	539.8
261.443	530.2
261.828	540
262.212	534.4
262.597	521.8
262.981	535.6
263.366	540.8
263.751	541
264.136	527.2
264.521	529.8
264.906	526.6
265.291	544.2
265.676	533
266.061	542.2
266.446	547.6
266.831	537.8
267.217	549.6
267.602	539
267.987	540.2
268.373	537.6
268.759	546.2
269.144	539.2
269.53	533
269.916	531.2
270.302	534.4
270.688	545.6
271.074	535.6
271.46	551.8
271.846	560.4
272.232	531.8
272.618	531.4
273.004	534.8
273.391	543.8
273.777	549.8
274.164	542.2
274.55	548.2
274.937	535.2
275.324	535.6
275.71	543.4
276.097	543
276.484	530.2
276.871	541.2
277.258	538
277.645	529.8
278.032	533.6
278.419	536.2
278.807	540
279.194	528.8
279.581	531.4
279.969	540.6
280.356	536.6
280.744	529.6
281.131	558.4
281.519	541
281.907	532.2
282.295	532.2
282.682	545
283.07	540.6
283.458	547.6
283.846	538
284.235	540.6
284.623	547.6
285.011	536
285.399	540
285.788	540.8
286.176	532.4
286.565	543.6
286.953	535.8
287.342	532.6
287.731	528.2
288.119	533.4
288.508	538.2
288.897	541.4
289.286	529
289.675	537.8
290.064	547.2
290.453	541.4
290.821	538.6
291.21	545.2
291.599	531.2
291.989	545.6
292.378	550.2
292.768	550
293.157	542.4
293.547	542.8
293.936	536.8
294.326	528.4
294.716	536
295.106	539.2
295.496	541.4
295.886	543.4
296.276	537
296.666	529.8
297.056	539.4
297.446	530
297.836	550.4
298.227	532.6
298.617	540
299.008	547.6
299.398	540.4
299.789	536.2
300.179	533.6
300.57	544.2
300.961	529.2
301.352	537.2
301.742	539
302.133	537.4
302.524	538.8
302.915	536.2
303.307	525.8
303.698	555
304.089	542.8
304.48	532.6
304.872	535.6
305.263	538.8
305.655	525.2
306.046	536.8
306.438	536.4
306.829	530.6
307.221	551.4
307.613	528
308.005	539.2
308.397	546.4
308.789	552.8
309.181	552
309.573	549.4
309.965	549.8
310.357	534.6
310.749	546.2
311.142	529
311.534	530.2
311.926	541.6
312.319	541
312.711	531.2
313.104	546.6
313.497	533
313.889	571.6
314.282	555
314.675	556.4
315.068	535.4
315.461	546.8
315.854	564.4
316.247	540.4
316.64	531.2
317.033	539.2
317.405	542.8
317.798	533.8
318.192	541.4
318.585	526.8
318.979	540.6
319.372	528.6
319.766	538.2
320.16	553
320.553	553.6
320.947	549.8
321.341	534.2
321.735	530.4
322.129	525.4
322.523	558.4
322.917	531.4
323.311	543.2
323.705	539.2
324.099	538.4
324.494	544.2
324.888	540.2
325.282	539
325.677	550.8
326.071	535.6
326.466	543.8
326.861	534.2
327.255	539
327.65	546.2
328.045	550.8
328.44	535.8
328.835	537.6
329.23	527.2
329.625	550.6
330.02	536.4
330.415	548
330.81	533.2
331.206	536.6
331.601	536
331.996	547.4
332.37	554.6
332.766	524.6
333.161	552.6
333.557	528.8
333.953	539.2
334.348	712.4
334.744	536.4
335.14	535.6
335.536	529
335.932	539.8
336.328	535.6
336.724	553.8
337.12	540.8
337.516	533.6
337.913	535.2
338.309	550
338.705	537.2
339.102	547.6
339.498	530.6
339.895	542
340.291	533.4
340.688	547.4
341.085	532
341.481	538.2
341.878	538
342.275	551
342.672	535.8
343.069	530.4
343.466	523.2
343.842	539.4
344.239	526
344.636	533.6
345.033	532.2
345.431	527.6
345.828	533.4
346.225	528.8
346.623	565.6
347.02	529
347.418	539.4
347.816	544.2
348.213	532
348.611	534.6
349.009	528.4
349.407	547
349.805	532.6
350.203	527.4
350.601	545.6
350.999	535.2
351.397	574.4
351.795	530.8
352.193	540.8
352.57	536.6
352.969	537.2
353.367	525.6
353.766	524.8
354.164	533.4
354.563	538
354.961	532.4
355.36	532.2
355.759	534.6
356.158	530.4
356.557	531.4
356.956	522.6
357.355	516.4
357.754	531
358.153	538.2
358.552	551.8
358.951	538.2
359.35	540.8
359.75	526.4
360.149	530.4
360.527	519.8
360.926	523.8
361.326	539.8
361.726	526
362.125	521.2
362.525	525.2
362.925	527.4
363.325	537.8
363.724	527.2
364.124	524.6
364.524	530.8
364.924	529.6
365.324	536.4
365.725	516.2
366.125	532.8
366.525	527.8
366.904	529.6
367.304	516.4
367.705	544.8
368.105	542.6
368.506	526.4
368.906	532.6
369.307	531.8
369.708	536
370.108	523.6
370.509	540
370.91	511.8
371.311	528.8
371.712	534.8
372.113	533.4
372.514	517.6
372.894	529.4
373.295	522
373.696	541.6
374.097	536.8
374.499	558
374.9	533
375.301	534
375.703	531.6
376.105	515.4
376.506	539.6
376.908	530.4
377.309	528.8
377.711	530.4
378.113	520.2
378.493	525
378.895	530.2
379.297	540.8
379.699	530.4
380.102	528.6
380.504	530.2
380.906	521.6
381.308	545.4
381.71	531.4
382.113	530.2
382.515	521
382.918	531.2
383.299	531.8
383.701	536.8
384.104	532.6
384.507	511.2
384.909	535
385.312	520.4
385.715	521.8
386.118	528.4
386.521	513.8
386.924	527.8
387.327	527
387.709	514
388.112	513.6
388.515	524
388.918	530.8
389.322	530.4
389.725	523.6
390.129	539.6
390.532	529.4
390.936	519.4
391.339	514
391.743	530.4
392.125	525
392.529	533.6
392.933	533.2
393.337	529.2
393.74	531.8
394.144	525.6
394.548	525.2
394.953	532
395.357	533.4
395.761	523.8
396.144	524.2
396.548	523.4
396.952	529.4
397.357	535
397.761	528.8
398.166	522.8
398.57	521.4
398.975	522.6
399.379	533
399.763	572.4
400.168	531.8
400.572	524.4
400.977	525.6
401.382	551
401.787	531.8
402.192	544.2
402.597	533.2
403.002	514.4
403.386	536.4
403.791	541.4
404.197	520.4
404.602	522.6
405.007	524.2
405.413	522.4
405.818	542
406.224	524.6
406.608	523.8
407.014	521.4
407.42	539
407.825	529.2
408.231	528.6
408.637	526.6
409.043	534.4
409.449	521.8
409.834	521.2
410.24	524.8
410.646	539
411.052	538.6
411.458	534.6
411.865	529.2
412.271	534
412.677	537.2
413.062	532.2
413.469	524
413.875	543.8
414.282	542
414.689	534.2
415.095	530.4
415.502	522.6
415.888	530.4
416.294	516.4
416.701	556.2
417.108	522
417.515	539
417.923	526.4
418.33	542.4
418.715	539.6
419.123	524.2
419.53	528.6
419.937	530.2
420.345	546.8
420.752	522.2
421.16	538.8
421.546	533.8
421.953	537.6
422.361	521.2
422.769	528
423.177	519.2
423.585	550.8
423.992	537.2
424.379	532.2
424.787	535.4
425.195	542.8
425.603	524.6
426.011	537.8
426.419	545.2
426.806	529.2
427.214	533
427.623	545.6
428.031	556.2
428.44	545.2
428.848	556.8
429.235	567.4
429.644	559
430.053	566.6
430.461	588.4
430.87	609
431.279	601.8
431.666	610.6
432.075	627.8
432.484	638.8
432.893	651.4
433.302	684.6
433.711	728.2
434.099	711.4
434.508	737.8
434.918	748
435.327	776.4
435.737	798.4
436.125	819
436.534	842.2
436.944	862.2
437.353	895.8
437.763	928.4
438.173	931.4
438.561	960.8
438.971	957.8
439.381	995.8
439.791	1020.6
440.201	1023.6
440.589	1046.4
440.999	1080.4
441.409	1098.4
441.819	1085.8
442.23	1138.4
442.619	1132.4
443.029	1139.6
443.439	1168.8
443.85	1188.6
444.26	1185.4
444.649	1198
445.06	1198.8
445.471	1199.6
445.881	1243.8
446.292	1256
446.682	1270
447.092	1246.4
447.503	1310.8
447.914	1275.4
448.325	1286.6
448.715	1288.6
449.126	1299.8
449.537	1301.6
449.948	1318.4
450.338	1305
450.75	1334.8
451.161	1331.6
451.572	1330.6
451.984	1331.4
452.374	1315
452.786	1335.8
453.197	1340.8
453.609	1333.6
453.999	1346.4
454.411	1348.6
454.823	1359.4
455.235	1352.8
455.647	1362.2
456.037	1359.8
456.449	1339.4
456.862	1366.6
457.274	1364.2
