#lambda/nm	C1
208.295	463.4
208.67	431.8
209.045	393.4
209.419	396.2
209.794	534.6
210.169	526.2
210.544	627.8
210.919	536.2
211.295	521.8
211.67	535
212.045	536.4
212.421	531.2
212.796	554.8
213.172	522.4
213.547	532
213.923	535
214.299	531.6
214.675	549
215.051	543.8
215.427	540
215.803	551.6
216.179	540
216.555	531.4
216.932	545.2
217.308	543.2
217.684	542.8
218.061	546.2
218.438	539.4
218.814	527.4
219.191	544.4
219.568	531
219.945	539.6
220.322	549.2
220.699	541.2
221.076	547.8
221.453	540
221.83	531
222.208	536.2
222.585	539.8
222.962	542.8
223.34	544.8
223.717	534.2
224.095	537.6
224.473	537
224.851	535.8
225.229	533.6
225.607	550.2
225.985	527.6
226.363	541.2
226.741	536.6
227.119	538.4
227.497	553
227.876	522.6
228.254	545.2
228.633	539
229.011	535
229.39	543.4
229.769	546.2
230.148	541
230.527	554.2
230.905	536.2
231.284	545.6
231.664	545
232.043	547
232.422	543.4
232.801	535.2
233.181	539.4
233.56	537
233.94	542.2
234.319	530.8
234.699	534.2
235.079	569.8
235.458	571.8
235.838	551.2
236.218	531.2
236.598	523.6
236.978	532.2
237.358	535
237.738	532.2
238.119	544.8
238.499	526
238.88	533.2
239.26	548
239.641	529.6
240.021	530.6
240.402	539.4
240.783	531
241.163	536.6
241.544	547.6
241.925	538.8
242.306	552.4
242.687	537
243.069	532
243.45	543.2
243.831	537.6
244.212	531.4
244.594	565.8
244.975	537.4
245.357	539.6
245.739	527.4
246.12	535.6
246.502	552.2
246.884	533
247.266	534.6
247.648	535.6
248.03	555.4
248.412	529
248.794	537
249.176	533.8
249.559	546
249.941	531.4
250.323	529.6
250.706	530.6
251.089	531
251.471	540.6
251.854	536.4
252.237	533.8
252.62	544.2
253.002	537.6
253.385	538.6
253.769	550.6
254.152	530.4
254.535	543
254.918	521.2
255.301	526.8
255.685	533.4
256.068	530.2
256.452	558
256.835	549.4
257.219	534.6
257.603	547.4
257.986	526.4
258.37	536.8
258.754	534
259.138	537.8
259.522	539.6
259.906	532.6
260.29	537.4
260.675	536.4
261.059	535.2
261.443	529.4
261.828	547
262.212	538.8
262.597	526.2
262.981	534.2
263.366	542.8
263.751	537.8
264.136	532.2
264.521	536.8
264.906	526
265.291	539.8
265.676	526
266.061	540.2
266.446	544.2
266.831	534
267.217	557.2
267.602	536.2
267.987	540
268.373	534.2
268.759	546
269.144	541.8
269.53	533.2
269.916	533.8
270.302	537.8
270.688	544.6
271.074	532.6
271.46	544.4
271.846	557
272.232	532.6
272.618	537.6
273.004	538.4
273.391	543.4
273.777	550
274.164	542.6
274.55	556.2
274.937	539.4
275.324	538.6
275.71	537.2
276.097	542.8
276.484	523
276.871	530.6
277.258	536.4
277.645	533
278.032	539.4
278.419	525.4
278.807	542.8
279.194	527.2
279.581	531.8
279.969	542.2
280.356	536.6
280.744	539.8
281.131	551.8
281.519	539.8
281.907	531.6
282.295	541.8
282.682	537
283.07	534.6
283.458	546.4
283.846	551.4
284.235	539.8
284.623	542
285.011	526
285.399	535
285.788	540.4
286.176	515.6
286.565	537.2
286.953	525.6
287.342	531.8
287.731	528
288.119	525.6
288.508	532
288.897	533.8
289.286	525.8
289.675	532.6
290.064	538.2
290.453	534.4
290.821	532.8
291.21	550.4
291.599	532.8
291.989	541.4
292.378	547.8
292.768	553.6
293.157	541.2
293.547	547.4
293.936	537.6
294.326	531.4
294.716	545
295.106	538.6
295.496	545.4
295.886	538.4
296.276	538
296.666	532
297.056	535.6
297.446	528.4
297.836	554.2
298.227	524.6
298.617	545
299.008	544.4
299.398	535.6
299.789	529.6
300.179	538.2
300.57	550.8
300.961	529.2
301.352	532.2
301.742	539.8
302.133	535.6
302.524	532.4
302.915	540.2
303.307	528.8
303.698	544.4
304.089	541.8
304.48	535.6
304.872	539.2
305.263	536
305.655	524
306.046	541.8
306.438	539.8
306.829	530.6
307.221	551.4
307.613	545
308.005	544.8
308.397	551.4
308.789	546
309.181	554.6
309.573	548.4
309.965	552
310.357	535.4
310.749	546.6
311.142	526.6
311.534	526.4
311.926	534.8
312.319	537.6
312.711	533.4
313.104	548.6
313.497	530.6
313.889	560.6
314.282	552.2
314.675	554.8
315.068	540.8
315.461	544.8
315.854	564
316.247	540.2
316.64	538
317.033	540.6
317.405	541.8
317.798	541.2
318.192	542.2
318.585	534.4
318.979	544.6
319.372	530.6
319.766	539.2
320.16	540.6
320.553	553.6
320.947	552.6
321.341	533.4
321.735	534
322.129	524.8
322.523	554.8
322.917	529.8
323.311	546.6
323.705	537
324.099	537.6
324.494	552.6
324.888	545.2
325.282	533
325.677	550.2
326.071	541.4
326.466	545.2
326.861	540.6
327.255	546.8
327.65	552
328.045	549
328.44	546.8
328.835	538.6
329.23	536.4
329.625	559.4
330.02	529.2
330.415	560
330.81	538
331.206	538.6
331.601	533.8
331.996	546.6
332.37	557.8
332.766	535.6
333.161	560.2
333.557	532.4
333.953	536.8
334.348	758.8
334.744	541.2
335.14	536.4
335.536	530.2
335.932	551.4
336.328	539
336.724	545.8
337.12	534.4
337.516	543
337.913	538.2
338.309	551.2
338.705	535.6
339.102	540.8
339.498	532
339.895	546.2
340.291	531.6
340.688	546.4
341.085	528.6
341.481	532.6
341.878	532.4
342.275	551
342.672	531.4
343.069	530.4
343.466	528.8
343.842	547.8
344.239	525
344.636	539.8
345.033	523
345.431	531.2
345.828	534.8
346.225	530.6
346.623	564.6
347.02	526
347.418	540.8
347.816	543.8
348.213	529.2
348.611	536.6
349.009	535
349.407	534.8
349.805	519.2
350.203	521.8
350.601	544.4
350.999	535.8
351.397	569.6
351.795	537.8
352.193	541
352.57	538.2
352.969	543.6
353.367	528.2
353.766	525.6
354.164	536.2
354.563	543.6
354.961	527.6
355.36	532.6
355.759	532.2
356.158	529.2
356.557	529.8
356.956	520.2
357.355	515.4
357.754	537.4
358.153	536.8
358.552	549.6
358.951	528.8
359.35	539.8
359.75	533
360.149	523
360.527	525.2
360.926	522.2
361.326	535.2
361.726	537.2
362.125	532.4
362.525	542.4
362.925	527.2
363.325	525.4
363.724	533.8
364.124	527.6
364.524	528.2
364.924	527.6
365.324	537.4
365.725	509.6
366.125	533.4
366.525	529.4
366.904	524.4
367.304	519
367.705	539.8
368.105	549.4
368.506	523.6
368.906	531.4
369.307	531.4
369.708	530.8
370.108	523
370.509	529
370.91	530.4
371.311	531.6
371.712	532.8
372.113	527.2
372.514	522.2
372.894	530
373.295	524.4
373.696	536.6
374.097	538.2
374.499	555.4
374.9	538.4
375.301	524
375.703	538.2
376.105	525.4
376.506	535.4
376.908	539.4
377.309	531.4
377.711	527.6
378.113	519
378.493	526.2
378.895	519.4
379.297	538.6
379.699	516
380.102	530.6
380.504	530
380.906	528.4
381.308	546.4
381.71	526.8
382.113	529.6
382.515	523.6
382.918	538.6
383.299	522.2
383.701	537.2
384.104	525
384.507	517.2
384.909	525.8
385.312	512.2
385.715	514.4
386.118	529.6
386.521	517.2
386.924	527.8
387.327	520
387.709	516.2
388.112	516.6
388.515	526
388.918	530
389.322	522.6
389.725	522.4
390.129	545.8
390.532	528.2
390.936	522
391.339	521.6
391.743	524
392.125	521.8
392.529	537.4
392.933	536.4
393.337	518.6
393.74	536
394.144	522.4
394.548	527.6
394.953	517.2
395.357	537.6
395.761	529.2
396.144	523.4
396.548	527.8
396.952	528.8
397.357	524.2
397.761	523.6
398.166	523.6
398.57	519.2
398.975	526.2
399.379	518.4
399.763	563.2
400.168	522
400.572	523.8
400.977	519.8
401.382	549
401.787	527.6
402.192	542
402.597	541.8
403.002	512
403.386	529.2
403.791	544.4
404.197	523.8
404.602	527.8
405.007	524.2
405.413	517.8
405.818	529.2
406.224	521.4
406.608	519.4
407.014	515.8
407.42	532.6
407.825	522.8
408.231	536
408.637	533.6
409.043	537.8
409.449	528.4
409.834	515.4
410.24	531.2
410.646	542.6
411.052	530.8
411.458	515.8
411.865	531.2
412.271	533.8
412.677	528.8
413.062	533.2
413.469	522.2
413.875	548
414.282	537
414.689	531.4
415.095	538.2
415.502	528.4
415.888	531.4
416.294	521
416.701	564.2
417.108	520.2
417.515	532.4
417.923	531.8
418.33	541.2
418.715	532.2
419.123	529.6
419.53	531.2
419.937	533.2
420.345	539
420.752	526
421.16	545
421.546	530.8
421.953	537.2
422.361	525.2
422.769	527.2
423.177	527
423.585	545.8
423.992	550
424.379	541.2
424.787	539.6
425.195	554.4
425.603	526.6
426.011	532.6
426.419	552.4
426.806	538.2
427.214	537
427.623	546.8
428.031	554.8
428.44	551.8
428.848	556.4
429.235	574.6
429.644	564.6
430.053	572.2
430.461	596.2
430.87	608.2
431.279	611.6
431.666	607.2
432.075	632.4
432.484	651.4
432.893	664.6
433.302	701
433.711	737.6
434.099	729.8
434.508	741.2
434.918	765
435.327	807.6
435.737	817.4
436.125	843
436.534	861
436.944	890
437.353	925
437.763	945
438.173	963.6
438.561	979
438.971	996.6
439.381	1036.2
439.791	1043.6
440.201	1053
440.589	1082
440.999	1113.4
441.409	1130.6
441.819	1122
442.23	1173
442.619	1198.8
443.029	1202.4
443.439	1224
443.85	1242.6
444.26	1246.4
444.649	1238.8
445.06	1244
445.471	1251.8
445.881	1273.4
446.292	1308
446.682	1323.2
447.092	1302.2
447.503	1367
447.914	1334.4
448.325	1345
448.715	1353.2
449.126	1350
449.537	1350.8
449.948	1350
450.338	1367
450.75	1391.6
451.161	1388.8
451.572	1391.8
451.984	1395
452.374	1382.6
452.786	1402.8
453.197	1403
453.609	1399.8
453.999	1397.4
454.411	1395.8
454.823	1412.4
455.235	1406.6
455.647	1414.6
456.037	1409.6
456.449	1394.6
456.862	1416
457.274	1411.4
457.665	1415.6
458.077	1435.4
458.489	1446.4
458.902	1428.2
459.293	1434.2
459.705	1420.6
460.118	1421.8
460.53	1437.8
460.921	1425.6
461.334	1429.8
461.747	1430.2
462.16	1432.2
462.551	1445.6
462.964	1451.2
