#lambda/nm	C1
208.295	466.8
208.67	439.4
209.045	396.4
209.419	404
209.794	549.8
210.169	525.6
210.544	628.4
210.919	540.2
211.295	526.8
211.67	548.8
212.045	531.8
212.421	534.6
212.796	558.6
213.172	537.8
213.547	538.6
213.923	530.4
214.299	534.8
214.675	539
215.051	540.8
215.427	540
215.803	554
216.179	545.8
216.555	531
216.932	544.6
217.308	543.8
217.684	537
218.061	549.8
218.438	551.6
218.814	536.8
219.191	547.2
219.568	536
219.945	542.6
220.322	541.4
220.699	538.4
221.076	540.4
221.453	545.8
221.83	529.4
222.208	535.8
222.585	534.4
222.962	540.4
223.34	542.8
223.717	533.6
224.095	533.8
224.473	540.2
224.851	528.4
225.229	532.6
225.607	545.6
225.985	531.6
226.363	540.2
226.741	538.8
227.119	534
227.497	552.4
227.876	527.2
228.254	541
228.633	548.6
229.011	539.8
229.39	547.2
229.769	537.8
230.148	551.4
230.527	558.6
230.905	543.6
231.284	541
231.664	540.6
232.043	545
232.422	542.6
232.801	536.8
233.181	550
233.56	536.8
233.94	537.8
234.319	534.2
234.699	535.4
235.079	571.6
235.458	570.2
235.838	552.4
236.218	532.4
236.598	527.2
236.978	535.8
237.358	527.6
237.738	532.8
238.119	534.2
238.499	529
238.88	535.6
239.26	539.8
239.641	533.4
240.021	526.6
240.402	542.6
240.783	535.2
241.163	534.2
241.544	539.2
241.925	541.8
242.306	550.6
242.687	535
243.069	538.4
243.45	536.4
243.831	532.8
244.212	536.8
244.594	564.8
244.975	537.2
245.357	549
245.739	533.4
246.12	536.2
246.502	551
246.884	535
247.266	539.4
247.648	530.2
248.03	557.8
248.412	540.2
248.794	535
249.176	537.4
249.559	550.8
249.941	527.2
250.323	530
250.706	530.4
251.089	537.2
251.471	538.8
251.854	543.6
252.237	533.2
252.62	541.4
253.002	539.2
253.385	532.8
253.769	551.2
254.152	535.6
254.535	541.4
254.918	531.8
255.301	535.6
255.685	529.6
256.068	530.8
256.452	550.2
256.835	546.2
257.219	542.8
257.603	544.8
257.986	527.8
258.37	546.6
258.754	528.8
259.138	547.8
259.522	544.4
259.906	532.4
260.29	544
260.675	529.6
261.059	532.6
261.443	528.8
261.828	534.6
262.212	540.4
262.597	518.4
262.981	527
263.366	543
263.751	534.6
264.136	538
264.521	539.6
264.906	520.6
265.291	547.2
265.676	527.4
266.061	537.6
266.446	537.4
266.831	544.6
267.217	557.2
267.602	545.4
267.987	531.8
268.373	532.4
268.759	537.2
269.144	537.4
269.53	536.2
269.916	533.2
270.302	535.2
270.688	540.8
271.074	534.6
271.46	547.4
271.846	568.8
272.232	542
272.618	532.4
273.004	536.6
273.391	553.8
273.777	551
274.164	540.8
274.55	547.4
274.937	538
275.324	533.4
275.71	542.4
276.097	547.4
276.484	530.6
276.871	540.6
277.258	538
277.645	528.2
