#lambda/nm	C1
208.295	470.2
208.67	434.4
209.045	393.4
209.419	399.2
209.794	538.8
210.169	526.8
210.544	626.2
210.919	539.6
211.295	535.4
211.67	543.2
212.045	534
212.421	536.6
212.796	566.4
213.172	529.2
213.547	530
213.923	529.4
214.299	532.8
214.675	539
215.051	542.8
215.427	546.2
215.803	558.6
216.179	547.4
216.555	535.8
216.932	553.4
217.308	544.2
217.684	537.2
218.061	545
218.438	541
218.814	541.2
219.191	541.4
219.568	538
219.945	534
220.322	544.6
220.699	540.8
221.076	545.8
221.453	536.8
221.83	531.2
222.208	532.6
222.585	536.8
222.962	538.6
223.34	536.8
223.717	540
224.095	529.4
224.473	533
224.851	524.2
225.229	528.4
225.607	549
225.985	524
226.363	531.2
226.741	532.8
227.119	528.6
227.497	545.4
227.876	529
228.254	544.2
228.633	540.2
229.011	543
229.39	535.6
229.769	543.2
230.148	540.4
230.527	548.4
230.905	536.4
231.284	540.8
231.664	538.6
232.043	549.8
232.422	543.6
232.801	535.2
233.181	542
233.56	536.8
233.94	541.4
234.319	526.4
234.699	531.2
235.079	568.6
235.458	566.8
235.838	549
236.218	529
236.598	524.8
236.978	540.2
237.358	533
237.738	526.2
238.119	542.4
238.499	527.4
238.88	543
239.26	556.4
239.641	533.8
240.021	534
240.402	540
240.783	530.6
241.163	532.4
241.544	536.4
241.925	537.6
242.306	544.4
242.687	527.2
243.069	542.6
243.45	539.2
243.831	527.8
244.212	529
244.594	571.6
244.975	535.2
245.357	544
245.739	535.2
246.12	539.4
246.502	547
246.884	535
247.266	529.2
247.648	542.4
248.03	562.4
248.412	540.6
248.794	538.8
249.176	532.2
249.559	542.4
249.941	532
250.323	528
250.706	538.6
251.089	538
251.471	537.8
251.854	533.6
252.237	535.2
252.62	547.8
253.002	533.2
253.385	541
253.769	545.6
254.152	534.8
254.535	544
254.918	526.4
255.301	537.6
255.685	532.4
256.068	537.8
256.452	554.2
256.835	542.4
257.219	549.2
257.603	550.2
257.986	538.6
258.37	541
258.754	518.8
259.138	539.4
259.522	542
259.906	535.2
260.29	536.4
260.675	528.6
261.059	537.4
261.443	529.4
261.828	539.2
262.212	539.2
262.597	524
262.981	533.8
263.366	541.2
263.751	537.4
264.136	534
264.521	528.8
264.906	533.2
265.291	537.4
265.676	534.4
266.061	545.8
266.446	543.6
266.831	542
267.217	551.6
267.602	538.8
267.987	533
268.373	536.4
268.759	541.6
269.144	544.6
269.53	545.4
269.916	530.6
270.302	540.4
270.688	541.6
271.074	547.6
271.46	545
271.846	566.8
272.232	538
272.618	533.8
273.004	538.4
273.391	539.4
273.777	551.8
274.164	544.8
274.55	552.2
274.937	543.8
275.324	540.4
275.71	542
276.097	539.6
276.484	525.4
276.871	535.6
277.258	536.6
277.645	528.4
278.032	535
278.419	534
278.807	530
279.194	527.8
279.581	524.4
279.969	533
280.356	541.4
280.744	536
281.131	561.2
281.519	541.2
281.907	537.2
282.295	528.8
282.682	545.2
283.07	543
283.458	541.8
283.846	542.6
284.235	541.6
284.623	544.4
285.011	532.8
285.399	546.4
285.788	526.6
286.176	525
286.565	545
286.953	532.8
287.342	529.2
287.731	530.4
288.119	524.4
288.508	541.4
288.897	539.8
289.286	522.8
289.675	533.4
290.064	554
290.453	537.8
290.821	540.8
291.21	549.4
291.599	533
291.989	533.8
292.378	542.6
292.768	551.4
293.157	543
293.547	548.4
293.936	533.6
294.326	537.6
294.716	540.4
295.106	550.2
295.496	540.6
295.886	541.8
296.276	539.8
296.666	531.8
297.056	534.8
297.446	534.8
297.836	550.2
298.227	535.6
298.617	539.8
299.008	551.6
299.398	540.4
299.789	533.6
300.179	546.4
300.57	547.8
300.961	532.6
301.352	535.6
301.742	545
302.133	538.2
302.524	535
302.915	543.2
303.307	529
303.698	552.8
304.089	543.6
304.48	533
304.872	540.4
305.263	533.6
305.655	526.4
306.046	539
306.438	536.6
306.829	539.4
307.221	548.8
307.613	542.6
308.005	547.4
308.397	542.2
308.789	552.6
309.181	565.4
309.573	552.8
309.965	548.4
310.357	530
310.749	555.4
311.142	533
311.534	534.2
311.926	554
312.319	544
312.711	531
313.104	548.4
313.497	536.6
313.889	568.2
314.282	547
314.675	558.2
315.068	545.8
315.461	548
315.854	555.2
316.247	539.4
316.64	542.6
317.033	537.8
317.405	545.2
317.798	539.8
318.192	545
318.585	525.4
318.979	542.8
319.372	534.8
319.766	534.8
320.16	549.2
320.553	549
320.947	554.2
321.341	534.2
321.735	540.2
322.129	528.2
322.523	559
322.917	540.2
323.311	543.8
323.705	539
324.099	546.4
324.494	551.6
324.888	537.4
325.282	528
325.677	543.2
326.071	542
326.466	547.6
326.861	543
327.255	545.6
327.65	546.8
328.045	540
328.44	541.6
328.835	541.4
329.23	528.2
329.625	545.4
330.02	535.2
330.415	560.8
330.81	541.4
331.206	541.2
331.601	531.2
331.996	542.2
332.37	553.6
332.766	529.6
333.161	555
333.557	535.4
333.953	538.6
334.348	836.2
334.744	542
335.14	535.8
335.536	531.2
335.932	539.4
336.328	538.4
336.724	537.8
337.12	531.8
337.516	543.8
337.913	545
338.309	553.8
338.705	538.6
339.102	550
339.498	536.6
339.895	551.8
340.291	529.4
340.688	544.6
341.085	531.8
341.481	527.8
341.878	539.2
342.275	555
342.672	527.6
343.069	534.4
343.466	528.4
343.842	544.6
344.239	531.6
344.636	539.6
345.033	527.8
345.431	533.8
345.828	536.6
346.225	529.8
346.623	560.2
347.02	537.4
347.418	544.4
347.816	550.2
348.213	525
348.611	546.4
349.009	528.8
349.407	542.8
349.805	527.2
350.203	520.4
350.601	548.4
350.999	532.4
351.397	582.4
351.795	535.8
352.193	543
352.57	541.4
352.969	542.4
353.367	534.2
353.766	526
354.164	531.4
354.563	541.4
354.961	534.6
355.36	525.4
355.759	536
356.158	524
356.557	528.6
356.956	516.2
357.355	527.2
357.754	534
358.153	541.2
358.552	545.4
358.951	535
359.35	544.2
359.75	532
360.149	525
360.527	524.6
360.926	520.8
361.326	532.2
361.726	530.6
362.125	524.6
362.525	538.2
362.925	530.8
363.325	527.4
363.724	520.2
364.124	527.2
364.524	526
364.924	526.6
365.324	546.2
365.725	519.4
366.125	532.4
366.525	532
366.904	521.8
367.304	522.2
367.705	549.6
368.105	546.4
368.506	522.8
368.906	529.6
369.307	529.6
369.708	536
370.108	518.6
370.509	539.6
370.91	528.6
371.311	535.2
371.712	530.2
372.113	530.4
372.514	513.4
372.894	527
373.295	523
373.696	535.2
374.097	538.2
374.499	551.2
374.9	524.6
375.301	521.8
375.703	532
376.105	514.2
376.506	532.8
376.908	527.6
377.309	522.2
377.711	528.6
378.113	520.2
378.493	529
378.895	522
379.297	539.2
379.699	519
380.102	532.2
380.504	533.4
380.906	523.8
381.308	552.6
381.71	526.4
382.113	534.4
382.515	531.6
382.918	529.2
383.299	533
383.701	544.6
384.104	534.8
384.507	521
384.909	533
385.312	513.6
385.715	520.8
386.118	529.6
386.521	526.2
386.924	536.2
387.327	521.6
387.709	513.8
388.112	513.6
388.515	535.2
388.918	521.2
389.322	536.6
389.725	524.4
390.129	541.2
390.532	533.4
390.936	532
391.339	521.2
391.743	535.2
392.125	528.8
392.529	538
392.933	542.2
393.337	532
393.74	534.2
394.144	535.6
394.548	526
394.953	529.4
395.357	543.4
395.761	524.2
396.144	534.2
396.548	528.8
396.952	523
397.357	539.2
397.761	519.6
398.166	520
398.57	526.2
398.975	522.6
399.379	534
399.763	571
400.168	526.8
400.572	528.2
400.977	532.6
401.382	553.2
401.787	531.8
402.192	547
402.597	545.2
403.002	527.4
403.386	537
403.791	545.4
404.197	524
404.602	523.8
405.007	534.6
405.413	523.6
405.818	524.8
406.224	524.8
406.608	525.8
407.014	525
407.42	541.8
407.825	526.8
408.231	536.4
408.637	530
409.043	537.4
409.449	522.6
409.834	532.2
410.24	536.8
410.646	538.8
411.052	535.4
411.458	529.2
411.865	538.6
412.271	544
412.677	527.8
413.062	540.8
413.469	520.8
413.875	548
414.282	545
414.689	536
415.095	536.2
415.502	522.6
415.888	533
416.294	524.6
416.701	563.8
417.108	529.6
417.515	539
417.923	528.2
418.33	543.2
418.715	539.2
419.123	527.6
419.53	529.4
419.937	526
420.345	538.8
420.752	523.4
421.16	537.2
421.546	529.8
421.953	537
422.361	529.2
422.769	538.6
423.177	518.4
423.585	542.8
423.992	546
424.379	543
424.787	534.8
425.195	543.6
425.603	533.2
426.011	537.2
426.419	543.6
426.806	536.8
427.214	544.8
427.623	545.6
428.031	557
428.44	555.4
428.848	563.8
429.235	572.6
429.644	563.4
430.053	569
430.461	593.6
430.87	616.6
