#lambda/nm	C1
208.295	463
208.67	430
209.045	398.2
209.419	399.8
209.794	529.8
210.169	518.4
210.544	623.2
210.919	536.2
211.295	531.4
211.67	533
212.045	531.4
212.421	532.4
212.796	557.8
213.172	523.2
213.547	525.8
213.923	524.6
214.299	532.6
214.675	532.2
215.051	534
215.427	538.8
215.803	540
216.179	543.6
216.555	529.6
216.932	540.6
217.308	535.2
217.684	534.8
218.061	540.6
218.438	530.6
218.814	532
219.191	541.4
219.568	530.2
219.945	530.4
220.322	547
220.699	535.6
221.076	542
221.453	537.6
221.83	532.6
222.208	528.2
222.585	533.2
222.962	538.4
223.34	538.4
223.717	534.2
224.095	532.8
224.473	531.4
224.851	525.2
225.229	527.8
225.607	549
225.985	527
226.363	537.4
226.741	530.4
227.119	529
227.497	538.8
227.876	520.8
228.254	538.4
228.633	543
229.011	536
229.39	537.4
229.769	542.4
230.148	536.8
230.527	552.2
230.905	542.8
231.284	540.6
231.664	536.2
232.043	547.8
232.422	539.6
232.801	535
233.181	539.6
233.56	527.8
233.94	534.8
234.319	522.6
234.699	531.2
235.079	575.4
235.458	576.2
235.838	547.2
236.218	520.8
236.598	530
236.978	532.2
237.358	534.6
237.738	534.8
238.119	540.4
238.499	520.4
238.88	532.2
239.26	545.2
239.641	521.4
240.021	529.6
240.402	530.8
240.783	531.6
241.163	537.8
241.544	539
241.925	533.6
242.306	549.4
242.687	533
243.069	535.8
243.45	541.4
243.831	532.6
244.212	540.6
244.594	564.2
244.975	541.2
245.357	536.2
245.739	529.8
246.12	529.2
246.502	543
246.884	531.6
247.266	524.2
247.648	539.6
248.03	548
248.412	533.4
248.794	536.4
249.176	534.2
249.559	543.4
249.941	519.6
250.323	514
250.706	523.4
251.089	530.8
251.471	533.8
251.854	535.2
252.237	521.2
252.62	532
253.002	530
253.385	535.4
253.769	546.8
254.152	538.2
254.535	540.8
254.918	529.2
255.301	522.4
255.685	532.4
256.068	531.8
256.452	550.6
256.835	541.2
257.219	540.4
257.603	549.4
257.986	539.8
258.37	547.2
258.754	526.6
259.138	540.6
259.522	535
259.906	537.8
260.29	536.6
260.675	527
261.059	536.8
261.443	521.6
261.828	536.2
262.212	538.2
262.597	521.8
262.981	528
263.366	536.4
263.751	531.4
264.136	532.4
264.521	539.2
264.906	530.4
265.291	539
265.676	529.6
266.061	540.4
266.446	553.8
266.831	529.4
267.217	542
267.602	539.8
267.987	532.4
268.373	529.8
268.759	535
269.144	538.2
269.53	536.6
269.916	532.6
270.302	536.4
270.688	542
271.074	542.2
271.46	548.2
271.846	562.6
272.232	532
272.618	532.2
273.004	541
273.391	541
273.777	548.6
274.164	531.6
274.55	546.4
274.937	533.8
275.324	530
275.71	545
276.097	536.8
276.484	532.6
276.871	529.2
277.258	539.6
277.645	529.4
