#lambda/nm	C1
208.295	466.6
208.67	431.8
209.045	389.6
209.419	406.4
209.794	535.4
210.169	523.2
210.544	627.8
210.919	548.8
211.295	532.4
211.67	529.4
212.045	529.6
212.421	539.8
212.796	563.8
213.172	534.2
213.547	538
213.923	529.8
214.299	535.6
214.675	539.8
215.051	546
215.427	547.6
215.803	555.4
216.179	534.8
216.555	528
216.932	544.4
217.308	538.4
217.684	542.8
218.061	542
218.438	544.4
218.814	538.2
219.191	548
219.568	533.2
219.945	536.4
220.322	548.6
220.699	544.4
221.076	538.8
221.453	538.8
221.83	528.2
222.208	530.8
222.585	535.2
222.962	534.6
223.34	535.2
223.717	532.8
224.095	533.8
224.473	534.4
224.851	533.2
225.229	529.8
225.607	544.6
225.985	530.2
226.363	533.4
226.741	530.6
227.119	531.2
227.497	538.6
227.876	524.8
228.254	542.6
228.633	542
229.011	537.8
229.39	534.4
229.769	538.2
230.148	541
230.527	550.6
230.905	537
231.284	534.8
231.664	528.6
232.043	544.2
232.422	543.2
232.801	537.6
233.181	540.2
233.56	533.2
233.94	534.4
234.319	527.6
234.699	529
235.079	574.8
235.458	563.6
235.838	548.4
236.218	534.2
236.598	528.4
236.978	531.2
237.358	533.4
237.738	526.2
238.119	540.4
238.499	527.2
238.88	541.4
239.26	552
239.641	529
240.021	530.2
240.402	539
240.783	527.2
241.163	531.6
241.544	542
241.925	536.6
242.306	549.8
242.687	534.4
243.069	540.4
243.45	544.8
243.831	533
244.212	536.4
244.594	571.4
244.975	539.6
245.357	534.4
245.739	535.4
246.12	527.4
246.502	550
246.884	538.2
247.266	543.2
247.648	542.6
248.03	556
248.412	539
248.794	544.8
249.176	530.6
249.559	544
249.941	528.4
250.323	532.2
250.706	532.4
251.089	536
251.471	539.2
251.854	538.4
252.237	531.4
252.62	539.6
253.002	538.6
253.385	531.8
253.769	554.6
254.152	536.2
254.535	540.8
254.918	525.6
255.301	534.8
255.685	542.4
256.068	526
256.452	550
256.835	536.6
257.219	539.8
257.603	547.6
257.986	528
258.37	541
258.754	530.4
259.138	550.8
259.522	550.4
259.906	535.2
260.29	543
260.675	534.2
261.059	545.6
261.443	531.6
261.828	545
262.212	545.6
262.597	533.6
262.981	534
263.366	544.6
263.751	544.4
264.136	532.8
264.521	531.2
264.906	525.2
265.291	544.6
265.676	537.6
266.061	536.6
266.446	555.8
266.831	535.8
267.217	550.6
267.602	539
267.987	533
268.373	527.2
268.759	552
269.144	538.4
269.53	536
269.916	524.4
270.302	538.8
270.688	537
271.074	543.6
271.46	538.8
271.846	564.4
272.232	537.4
272.618	533.2
273.004	538.8
273.391	551.2
273.777	545.6
274.164	536.8
274.55	552.8
274.937	536.2
275.324	528.8
275.71	539
276.097	546.6
276.484	533
276.871	540
277.258	534
277.645	526
278.032	532.2
278.419	535
278.807	544.4
279.194	527.8
279.581	527.6
279.969	543
280.356	535.4
280.744	542.2
281.131	555.4
281.519	544.6
281.907	537.2
282.295	526
282.682	546.6
283.07	539.6
283.458	545.2
283.846	546
284.235	539.6
284.623	545.8
285.011	526.2
285.399	534.4
285.788	532.4
286.176	524.6
286.565	547.2
286.953	527.6
287.342	532
287.731	528.4
288.119	533.8
288.508	528.2
288.897	535
289.286	527.8
289.675	540.4
290.064	543.8
290.453	538.8
290.821	534.2
291.21	543.2
291.599	538.2
291.989	538.4
292.378	539.6
292.768	545.4
293.157	544.8
293.547	547.6
293.936	528.8
294.326	534.6
294.716	541.4
295.106	540.4
295.496	542.6
295.886	545.8
296.276	534.4
296.666	526.8
297.056	537
297.446	524.8
297.836	552.6
298.227	534.4
298.617	536.4
299.008	549.6
299.398	535.6
299.789	534.6
300.179	545.4
300.57	545.2
300.961	523.6
301.352	532.2
301.742	538.2
302.133	540.6
302.524	539.2
302.915	531.6
303.307	527.2
303.698	537.6
304.089	541.2
304.48	535.4
304.872	535.2
305.263	537.4
305.655	527.6
306.046	539
306.438	536.4
306.829	530.4
307.221	535.6
307.613	535.2
308.005	539.2
308.397	548
308.789	555.8
309.181	558.4
309.573	549.6
309.965	540.4
310.357	534.2
310.749	541.6
311.142	528.4
311.534	529.6
311.926	538.6
312.319	539.2
312.711	533.8
313.104	548.8
313.497	536.2
313.889	565
314.282	544
314.675	566.6
315.068	537.2
315.461	549.4
315.854	566.4
316.247	538.8
316.64	540.2
