#lambda/nm	C1
208.295	465.4
208.67	433.8
209.045	390.6
209.419	397.4
209.794	543
210.169	523.4
210.544	627.4
210.919	540.8
211.295	526.4
211.67	540.6
212.045	532.4
212.421	534.8
212.796	558.6
213.172	528.4
213.547	535
213.923	532.4
214.299	534.4
214.675	541.2
215.051	543.2
215.427	547.8
215.803	558.6
216.179	542.6
216.555	531.4
216.932	547.2
217.308	539
217.684	534.8
218.061	543.8
218.438	542.4
218.814	530.8
219.191	541.4
219.568	529
219.945	534.8
220.322	538
220.699	542.6
221.076	541.6
221.453	537.4
221.83	525.2
222.208	531.6
222.585	534
222.962	531.8
223.34	539.8
223.717	534.4
224.095	530.4
224.473	536.6
224.851	526.2
225.229	521
225.607	550.8
225.985	524.8
226.363	536.6
226.741	535
227.119	531.4
227.497	553.4
227.876	528.6
228.254	543.4
228.633	540.2
229.011	536.4
229.39	542.8
229.769	529.8
230.148	533.8
230.527	553
230.905	540.4
231.284	543
231.664	534.4
232.043	541.4
232.422	543.2
232.801	536.4
233.181	537.6
233.56	530.6
233.94	534
234.319	525.2
234.699	531.8
235.079	564.6
235.458	563
235.838	542.2
236.218	535.8
236.598	531.2
236.978	523.2
237.358	526.8
237.738	530
238.119	538
238.499	529
238.88	536
239.26	557.2
239.641	527.8
240.021	527.2
240.402	532.8
240.783	530.6
241.163	535.6
241.544	538
241.925	535.6
242.306	548.4
242.687	531.4
243.069	541.4
243.45	543.4
243.831	532.2
244.212	527.8
244.594	565.8
244.975	543
245.357	537.4
245.739	534.4
246.12	535.8
246.502	544
246.884	532.6
247.266	534.2
247.648	543
248.03	552.6
248.412	547.4
248.794	540.2
249.176	541.6
249.559	539.6
249.941	530.6
250.323	523.8
250.706	526
251.089	542
251.471	545.2
251.854	537
252.237	544.8
252.62	547.8
253.002	540.2
253.385	538.6
253.769	545.6
254.152	540.8
254.535	540.8
254.918	534.4
255.301	533
255.685	537.4
256.068	532.6
256.452	553.4
256.835	550.2
257.219	540.6
257.603	544.8
257.986	532.2
258.37	537.6
258.754	531.6
259.138	541.8
259.522	546.8
259.906	539
260.29	546.2
260.675	539.2
261.059	544.2
261.443	523.2
261.828	540
262.212	543.8
262.597	533
262.981	538.2
263.366	544.4
263.751	535
264.136	534.8
264.521	537
264.906	531.4
265.291	551.2
265.676	538.2
266.061	543.2
266.446	555.2
266.831	537.6
267.217	553.2
267.602	539
267.987	546
268.373	535.8
268.759	544.6
269.144	542.2
269.53	541.6
269.916	535.8
270.302	531.4
270.688	541.8
271.074	543.4
271.46	547
271.846	564.8
272.232	531.4
272.618	532.8
273.004	529.2
273.391	542.4
273.777	546.2
274.164	542.2
274.55	545
274.937	536.8
275.324	528.4
275.71	546.8
276.097	543
276.484	529
276.871	540.4
277.258	542.4
277.645	529.2
278.032	530.8
278.419	537.6
278.807	537
279.194	524
279.581	533.6
279.969	541.2
280.356	535
280.744	537.8
281.131	551.4
281.519	544.8
281.907	535.8
282.295	539.8
282.682	549
283.07	539.4
283.458	542.2
283.846	548.2
284.235	546.4
284.623	548
285.011	532.4
285.399	543
285.788	540.4
286.176	526.8
286.565	545.2
286.953	528.2
287.342	528.4
287.731	528
288.119	529.6
288.508	532.4
288.897	538.6
289.286	529
289.675	533.4
290.064	545.6
290.453	532.8
290.821	534.4
291.21	554
291.599	535.2
291.989	537
292.378	546.2
292.768	547.4
293.157	539.6
293.547	542.2
293.936	537
294.326	535.4
294.716	540
295.106	533.6
295.496	540
295.886	541
296.276	534.8
296.666	528.2
297.056	521.2
297.446	523.2
297.836	546
298.227	535.6
298.617	534
299.008	544.4
299.398	532
299.789	535.2
300.179	540.2
300.57	550.2
300.961	540.2
301.352	528.8
301.742	540.2
302.133	540.6
302.524	539.8
302.915	540.2
303.307	528.2
303.698	545
304.089	537.2
304.48	535.8
304.872	543
305.263	542.4
305.655	528.8
306.046	542.6
306.438	534.6
306.829	533.2
307.221	548.2
307.613	555.6
308.005	544.2
308.397	542.8
308.789	553.6
309.181	558
309.573	553.8
309.965	550
310.357	535.8
310.749	544.4
311.142	531.8
311.534	534.8
311.926	545.2
312.319	533.2
312.711	532.8
313.104	552.8
313.497	541.2
313.889	569
314.282	540.2
314.675	556.4
315.068	541.4
315.461	543.4
315.854	558.4
316.247	545.8
316.64	540.8
317.033	538
317.405	538
317.798	541
318.192	536.6
318.585	531.8
318.979	539.2
319.372	530.6
319.766	533.8
320.16	546.4
320.553	556
320.947	554.2
321.341	539.2
321.735	541.4
322.129	531.2
322.523	549.2
322.917	534.8
323.311	545.2
323.705	544.2
324.099	541
324.494	543
324.888	544.8
325.282	532.6
325.677	551.4
326.071	545.8
326.466	546.8
326.861	540
327.255	544.8
327.65	550.8
328.045	550.8
328.44	534.8
328.835	534
329.23	536.6
329.625	546.2
330.02	525.8
330.415	555.2
330.81	546.4
331.206	534
331.601	531.8
331.996	541.2
332.37	554.6
332.766	528.6
333.161	556.2
333.557	528.8
333.953	534.6
334.348	818.4
334.744	536.2
335.14	540.4
335.536	533.2
335.932	544
336.328	544
336.724	544.8
337.12	541.6
337.516	535.6
337.913	534
338.309	546.2
338.705	538.6
339.102	544.6
339.498	526.8
339.895	551.6
340.291	534
340.688	550
341.085	528.4
341.481	542.4
341.878	532
342.275	557.2
342.672	527.6
343.069	537.8
343.466	526
343.842	543.4
344.239	534
344.636	534.2
345.033	537.2
345.431	531.8
345.828	541
346.225	538.6
346.623	563.4
347.02	526.8
347.418	539.2
347.816	544.8
348.213	529.2
348.611	534.4
349.009	530.4
349.407	541.8
349.805	532.2
350.203	536.4
350.601	544.4
350.999	537.2
351.397	583.2
351.795	533.6
352.193	545.8
352.57	545.4
352.969	534
353.367	530.6
353.766	529.6
354.164	537.4
354.563	537.2
354.961	534.4
355.36	535.8
355.759	530.4
356.158	525.6
356.557	530.2
356.956	528.2
357.355	529.2
357.754	535.2
358.153	537
358.552	555.4
358.951	540.2
359.35	545.2
359.75	529.2
360.149	530.2
360.527	528
360.926	524
361.326	534.2
361.726	535.6
362.125	525.2
362.525	532.8
362.925	521.8
363.325	537
363.724	536.8
364.124	526.4
364.524	527.6
364.924	529.6
365.324	537.8
365.725	517.2
366.125	535.6
366.525	531.2
366.904	528
367.304	514.4
367.705	544.8
368.105	543.8
368.506	527.6
368.906	536
369.307	535.4
369.708	535.2
370.108	524.2
370.509	536.6
370.91	529.2
371.311	532
371.712	517.4
372.113	526.8
372.514	519.2
372.894	527
373.295	518.2
373.696	542.8
374.097	534
374.499	551.4
374.9	537.4
375.301	518
375.703	527.8
376.105	512.6
376.506	532.8
376.908	532.4
377.309	525.6
377.711	528.8
378.113	532.4
378.493	533.6
378.895	520
379.297	539.4
379.699	516.2
380.102	524.6
380.504	528.4
380.906	527.4
381.308	543.4
381.71	534.8
382.113	538.4
382.515	527.4
382.918	531
383.299	525.2
383.701	538
384.104	530.6
384.507	514.6
384.909	529.2
385.312	520.8
385.715	519.2
386.118	523.4
386.521	521.8
386.924	526.6
387.327	521.2
387.709	516
388.112	516.4
388.515	522.6
388.918	522.6
389.322	539.4
389.725	516.8
390.129	542.4
390.532	532
390.936	521.4
391.339	521.4
391.743	522.6
392.125	526
392.529	537.6
392.933	535.2
393.337	526.8
393.74	523.4
394.144	525.2
394.548	523.4
394.953	528
395.357	538.2
395.761	529
396.144	528.8
396.548	524
396.952	521.2
397.357	526.4
397.761	519
398.166	519.2
398.57	527
398.975	513.4
399.379	520.6
399.763	574
400.168	529.8
400.572	526.8
400.977	516
401.382	541.8
401.787	535.4
402.192	542.2
402.597	540
403.002	516.6
403.386	543
403.791	538.8
404.197	518
404.602	526.8
405.007	525.4
405.413	526.8
405.818	532.8
406.224	525.4
406.608	527.8
407.014	527
407.42	539.2
407.825	522.6
408.231	538.2
408.637	530
409.043	538.2
409.449	522.2
409.834	525.8
410.24	529.2
410.646	536.8
411.052	542.2
411.458	536.4
411.865	528
412.271	541
412.677	535.8
413.062	538.8
413.469	524.4
413.875	548
414.282	540.8
414.689	538.8
415.095	525
415.502	523.4
415.888	529
416.294	518.2
416.701	566.4
417.108	531.8
417.515	538
417.923	528.6
418.33	552
418.715	538.8
419.123	532.2
419.53	531.2
419.937	533
420.345	543
420.752	527.6
421.16	548.4
421.546	526.6
421.953	543.8
422.361	520
422.769	530.4
423.177	527.2
423.585	543
423.992	538.8
424.379	541.6
424.787	532.8
425.195	552
425.603	535
426.011	543.8
426.419	548
426.806	530.4
427.214	534.2
427.623	539.4
428.031	544.2
428.44	533.6
428.848	537.8
429.235	537
429.644	532.2
430.053	527.6
430.461	548.4
430.87	554.8
431.279	535.4
431.666	518.8
432.075	533
432.484	531.4
432.893	529.4
433.302	537
433.711	565
434.099	535
434.508	529
434.918	520.4
435.327	538.6
435.737	536.2
436.125	531.4
436.534	538.2
436.944	534
437.353	528.4
437.763	544.2
438.173	519.8
438.561	542.4
438.971	517.4
439.381	528.8
439.791	531.4
440.201	515
440.589	526.4
440.999	541.8
441.409	528.4
441.819	523.2
442.23	529.2
442.619	534.4
443.029	529.2
443.439	530
443.85	545.6
444.26	539
444.649	535.4
445.06	531
445.471	526.8
445.881	528
446.292	538.2
446.682	536.8
447.092	513.2
447.503	571
447.914	535
448.325	531.8
448.715	530.4
449.126	523
449.537	531.8
449.948	527.2
450.338	525
450.75	529.6
451.161	533.2
451.572	531.2
451.984	518
452.374	511.8
452.786	534.8
453.197	528.6
453.609	524
453.999	512.2
454.411	520
454.823	536
455.235	531
455.647	530.2
456.037	531.8
456.449	513
456.862	531.4
457.274	529.8
457.665	525.6
