#lambda/nm	C1
208.295	464.8
208.67	433.2
209.045	396.2
209.419	397.8
209.794	541.8
210.169	521.8
210.544	629.2
210.919	539.4
211.295	529.8
211.67	534.4
212.045	534.6
212.421	536.2
212.796	566
213.172	542.2
213.547	533.4
213.923	532.8
214.299	529.4
214.675	539
215.051	541.8
215.427	542.2
215.803	548.8
216.179	539
216.555	526
216.932	543.8
217.308	543.4
217.684	536.4
218.061	537.8
218.438	540.2
218.814	535.6
219.191	545.4
219.568	531.8
219.945	537
220.322	543.2
220.699	544
221.076	543.6
221.453	544
221.83	540.2
222.208	531.2
222.585	533
222.962	538.8
223.34	551.2
223.717	532.2
224.095	538
224.473	539.4
224.851	530.8
225.229	532.4
225.607	544.4
225.985	531.4
226.363	545.6
226.741	539.2
227.119	536.4
227.497	556
227.876	527.2
228.254	543.8
228.633	544
229.011	546
229.39	545
229.769	543.4
230.148	545.8
230.527	560.4
230.905	539.6
231.284	544.2
231.664	534.8
232.043	542.2
232.422	538.2
232.801	536.4
233.181	546.4
233.56	536.8
233.94	533.4
234.319	528.8
234.699	535.8
235.079	569
235.458	571.6
235.838	546
236.218	531.8
236.598	526.8
236.978	531.4
237.358	527.8
237.738	534.6
238.119	542
238.499	530.6
238.88	540.4
239.26	546.8
239.641	532.2
240.021	534.6
240.402	538
240.783	530.2
241.163	536.4
241.544	543.2
241.925	535.6
242.306	555
242.687	531.4
243.069	541
243.45	543
243.831	532.8
244.212	532.2
244.594	559.8
244.975	549
245.357	538.8
245.739	537.6
246.12	534.2
246.502	552.6
246.884	535.2
247.266	533.2
247.648	535
248.03	557
248.412	543.8
248.794	536.2
249.176	538.8
249.559	546.6
249.941	534.8
250.323	525
250.706	534.6
251.089	534
251.471	544.4
251.854	526.8
252.237	534.2
252.62	543.4
253.002	539.4
253.385	535.6
253.769	548.8
254.152	539.8
254.535	545.2
254.918	529
255.301	533.2
255.685	533.8
256.068	532.8
256.452	553.2
256.835	539.2
257.219	541.4
257.603	546
257.986	534.4
258.37	540.6
258.754	524.6
259.138	531
259.522	540.8
259.906	534.6
260.29	540.8
260.675	539.8
261.059	538
261.443	528.8
261.828	534.4
262.212	543.8
262.597	522.4
262.981	529.2
263.366	542.8
263.751	531.4
264.136	536.2
264.521	533.2
264.906	531.4
265.291	543.6
265.676	537.8
266.061	536.2
266.446	553.2
266.831	537.2
267.217	554.8
267.602	545.4
267.987	540.4
268.373	543.4
268.759	549.2
269.144	551.2
269.53	534.6
269.916	533.2
270.302	534.4
270.688	536.6
271.074	545.8
271.46	539.4
271.846	559.4
272.232	530.6
272.618	527.4
273.004	535.6
273.391	536.2
273.777	540
274.164	539.2
274.55	548.4
274.937	539.8
275.324	536.8
275.71	538
276.097	541.4
276.484	529.2
276.871	535.8
277.258	544.4
277.645	526
278.032	537.2
278.419	532.2
278.807	541
279.194	525.6
279.581	534.6
279.969	535.2
280.356	535.4
280.744	534.8
281.131	553
281.519	539.6
281.907	524.2
282.295	535.8
282.682	542.6
283.07	534
283.458	532.8
283.846	549.6
284.235	553.8
284.623	549
285.011	531.2
285.399	539.2
285.788	535.4
286.176	526.8
286.565	539.2
286.953	537.2
287.342	535.6
287.731	536.2
288.119	537.6
288.508	527.4
288.897	534.2
289.286	529.8
289.675	532
290.064	544
290.453	538
290.821	535
291.21	547.8
291.599	535
291.989	537.4
292.378	543.4
292.768	558.8
293.157	536.6
293.547	545
293.936	532
294.326	533.4
294.716	542.4
295.106	533.4
295.496	540.8
295.886	546
296.276	539.6
296.666	536
297.056	531.2
297.446	527.6
297.836	552.4
298.227	540
298.617	533.8
299.008	545.4
299.398	530.8
299.789	529.2
300.179	534.4
300.57	544.6
300.961	533
301.352	540.4
301.742	539.8
302.133	547.4
302.524	536.4
302.915	532.8
303.307	534.8
303.698	549.4
304.089	552.8
304.48	543.6
304.872	541.2
305.263	535.2
305.655	531.2
306.046	551.4
306.438	539.6
306.829	533.6
307.221	546.6
307.613	532.2
308.005	537.8
308.397	549
308.789	551
309.181	554.8
309.573	542.4
309.965	543.4
310.357	537.8
310.749	543.4
311.142	529
311.534	533
311.926	541.4
312.319	535.2
312.711	532.4
313.104	545.2
313.497	538
313.889	566.4
314.282	558.8
314.675	550.6
315.068	542.4
315.461	549.6
315.854	566
316.247	537.8
316.64	539.8
317.033	544
317.405	548.6
317.798	539.8
318.192	545.6
318.585	537
318.979	544.2
319.372	530
319.766	539
320.16	543.8
320.553	547.2
320.947	547.4
321.341	540.6
321.735	539.2
322.129	530.4
322.523	559.4
322.917	526.4
323.311	548.2
323.705	542.2
324.099	542.4
324.494	551.8
324.888	544
325.282	533.2
325.677	547
326.071	547.8
326.466	549.6
326.861	538.8
327.255	547.8
327.65	553
328.045	559.6
328.44	543.4
328.835	541.2
329.23	534.6
329.625	552.2
330.02	534.4
330.415	551
330.81	535.8
331.206	537.4
331.601	541
331.996	540.6
332.37	560
332.766	530
333.161	560.4
333.557	532.8
333.953	542.8
334.348	843.8
334.744	541.4
335.14	532.8
335.536	531.6
335.932	549.8
336.328	530.6
336.724	547.8
337.12	535.8
337.516	539.4
337.913	539.6
338.309	539.6
338.705	537.6
339.102	543.2
339.498	534.6
339.895	551.2
340.291	535
340.688	550.2
341.085	530.6
341.481	536.6
341.878	528.4
342.275	556.6
342.672	532.8
343.069	535.8
343.466	528.8
343.842	532.6
344.239	532
344.636	537.4
345.033	529.6
345.431	522.2
345.828	533.8
346.225	527.8
346.623	558.4
347.02	535.6
347.418	539.8
347.816	549
348.213	531.2
348.611	542
349.009	532.8
349.407	547
349.805	527
350.203	529.4
350.601	540.4
350.999	536.8
351.397	590
351.795	536.8
352.193	534
352.57	535.4
352.969	545.4
353.367	531
353.766	527.8
354.164	528.6
354.563	544
354.961	528
355.36	525.8
355.759	530.4
356.158	523.4
356.557	517.2
356.956	523.4
357.355	525
357.754	537
358.153	547
358.552	552.2
358.951	529.4
359.35	540
359.75	525
360.149	531
360.527	522
360.926	529
361.326	531
361.726	529.6
362.125	534.2
362.525	537.2
362.925	531.8
363.325	535.2
363.724	534.4
364.124	531.8
364.524	530
364.924	530.4
365.324	538.2
365.725	518
366.125	541.2
366.525	532.4
366.904	519.8
367.304	525.2
367.705	542.6
368.105	541.2
368.506	525.4
368.906	525.2
369.307	530
369.708	531.8
370.108	519.4
370.509	535.2
370.91	522.4
371.311	521
371.712	529.4
372.113	524.6
372.514	520
372.894	525.4
373.295	521.2
373.696	533.8
374.097	536.2
374.499	552.8
374.9	528
375.301	525
375.703	531.4
376.105	518
376.506	524.6
376.908	529.8
377.309	529.2
377.711	525.6
378.113	523.2
378.493	533.8
378.895	526
379.297	530.6
379.699	518.4
380.102	535.6
380.504	530.8
380.906	530.6
381.308	549
381.71	534.2
382.113	537.4
382.515	523.2
382.918	534.8
383.299	525.4
383.701	547.4
384.104	530.6
384.507	508
384.909	526.4
385.312	515.6
385.715	519.4
386.118	530.2
386.521	523
386.924	545.2
387.327	532.2
387.709	520.6
388.112	516
388.515	531.6
388.918	518.8
389.322	534.4
389.725	527.2
390.129	548.4
390.532	531.2
390.936	522.8
391.339	519
391.743	528.6
392.125	529
392.529	537.2
392.933	540.8
393.337	533.8
393.74	522.4
394.144	525.8
394.548	521
394.953	526.6
395.357	541
395.761	526
396.144	533.4
396.548	528.8
396.952	529.2
397.357	523.8
397.761	534.6
398.166	523.4
398.57	522
398.975	520.4
399.379	532
399.763	572.6
400.168	528.6
400.572	526.6
400.977	530.4
401.382	546
401.787	531
402.192	535.6
402.597	524.4
403.002	509
403.386	536
403.791	540.8
404.197	514.6
404.602	529.4
405.007	531.2
405.413	521.8
405.818	529.2
406.224	514.8
406.608	524.6
407.014	520.4
407.42	543.6
407.825	523.8
408.231	533.4
408.637	539.2
409.043	547.6
409.449	513.6
409.834	529.2
410.24	526.8
410.646	544.8
411.052	536
411.458	529.4
411.865	537.6
412.271	542.6
412.677	527.2
413.062	531
413.469	520
413.875	552.6
414.282	543.2
414.689	534.2
415.095	533.2
415.502	523
415.888	529
416.294	514.8
416.701	560
417.108	525.4
417.515	538.2
417.923	528.6
418.33	542.4
418.715	541.8
419.123	529.2
419.53	530.8
419.937	527
420.345	537.6
420.752	525
421.16	545.8
421.546	531.8
421.953	538.6
422.361	525.2
422.769	522.4
423.177	524.8
423.585	552.4
423.992	539.6
424.379	535.6
424.787	542.4
425.195	544.8
425.603	533.2
426.011	538.4
426.419	547.6
426.806	533.4
427.214	532.6
427.623	543.2
428.031	542.8
428.44	539.2
428.848	541
429.235	542.2
429.644	532.2
430.053	530
430.461	536
430.87	557.2
431.279	539
431.666	527.8
432.075	529.4
432.484	533.8
432.893	525.4
433.302	536.2
433.711	559.6
434.099	532.8
434.508	526.2
434.918	524.8
435.327	532.2
435.737	522.6
436.125	527.6
436.534	539.4
436.944	524
437.353	535
437.763	545.6
438.173	527
438.561	539.6
438.971	519
439.381	522.8
439.791	528.2
440.201	514.6
440.589	529.4
440.999	534.4
441.409	534
441.819	526.2
442.23	535.4
442.619	531.2
443.029	531.6
443.439	524
443.85	535
444.26	548.4
444.649	533.2
445.06	529.8
445.471	527.2
445.881	535.4
446.292	537.2
446.682	540.4
447.092	518.2
447.503	573.6
447.914	523.6
448.325	524.6
448.715	528.6
449.126	522.8
449.537	523.6
449.948	528.2
450.338	519.6
450.75	534.4
451.161	521.4
451.572	527.2
451.984	515.2
452.374	510.2
452.786	525.4
453.197	526.2
453.609	537
453.999	521.6
454.411	511.4
454.823	536
455.235	531.4
455.647	517.2
456.037	529.4
456.449	514.4
456.862	526.6
457.274	526.2
457.665	511.6
458.077	529
458.489	554
458.902	530.8
459.293	527
459.705	517.8
460.118	529.6
460.53	529.6
460.921	521.8
461.334	523.2
461.747	525
462.16	544.4
462.551	534.2
462.964	533
463.377	515.4
463.79	523.6
464.182	525.6
464.595	521.2
465.008	533.6
465.421	531.4
465.813	523.2
466.226	525.8
466.64	517.4
467.053	556.8
467.445	531.4
467.859	531.8
468.272	517.2
468.686	528.8
469.078	525
469.492	513.4
469.906	523.4
470.298	527
470.712	516.4
471.126	550.4
471.54	518.4
471.933	520.4
472.347	521.4
472.761	512.4
473.175	523.8
473.568	516
473.982	516.2
474.397	515
474.79	524.4
475.204	527.2
475.619	522.4
476.033	523
476.426	528.2
476.841	526.4
477.256	544.6
477.649	516.4
478.064	516.2
478.479	521.4
478.872	515.8
479.287	504.4
479.702	509.4
480.118	522
480.511	515.8
480.927	523
481.342	521.4
481.736	527.2
482.151	523.4
482.566	532.6
482.96	527.2
483.376	533.2
483.792	521.2
484.186	519.2
484.602	520
485.017	523.6
485.412	519
485.827	528.4
486.243	520.2
486.638	535.2
487.054	526
487.47	539.2
487.865	523.4
488.281	522.6
488.697	520.4
489.092	518.6
489.508	518
489.925	525.8
