#lambda/nm	C1
208.295	472.4
208.67	440.2
209.045	396.6
209.419	404
209.794	542.2
210.169	520.6
210.544	625.6
210.919	535.6
211.295	524.6
211.67	534.8
212.045	525.6
212.421	527
212.796	568.2
213.172	532.6
213.547	524.2
213.923	536
214.299	528
214.675	542.6
215.051	534
215.427	545.2
215.803	546.8
216.179	538.4
216.555	527.4
216.932	546.4
217.308	536
217.684	535.2
218.061	543.2
218.438	532.2
218.814	537
219.191	541.4
219.568	529
219.945	531.2
220.322	543
220.699	537.2
221.076	548.4
221.453	545.2
221.83	521.4
222.208	535.8
222.585	525.2
222.962	538.2
223.34	537.2
223.717	534.6
224.095	535.4
224.473	536.6
224.851	535.6
225.229	528.6
225.607	553.2
225.985	525.6
226.363	536.6
226.741	539.6
227.119	530
227.497	545.8
227.876	523.2
228.254	548.2
228.633	542.6
229.011	539.8
229.39	535.8
229.769	538.2
230.148	541.2
230.527	550
230.905	535.6
231.284	542.2
231.664	539.6
232.043	541.6
232.422	539.2
232.801	531.2
233.181	531.8
233.56	530.6
233.94	537.4
234.319	518
234.699	524.4
235.079	562.8
235.458	567.6
235.838	545
236.218	525.8
236.598	523
236.978	527
237.358	528
237.738	528.2
238.119	538.6
238.499	524.4
238.88	535.2
239.26	546
239.641	524
240.021	532.4
240.402	531.6
240.783	528.6
241.163	523
241.544	538.4
241.925	532.4
242.306	548.8
242.687	534.8
243.069	538.6
243.45	548
243.831	537.8
244.212	532.4
244.594	568.2
244.975	547
245.357	537.2
245.739	530.2
246.12	534
246.502	546.4
246.884	536
247.266	534
247.648	535.6
248.03	558
248.412	546.2
248.794	538.8
249.176	533.2
249.559	541
249.941	534.2
250.323	526.6
250.706	536.4
251.089	533
251.471	537.2
251.854	535.2
252.237	534.6
252.62	541.8
253.002	540
253.385	534
253.769	532.8
254.152	535
254.535	540.2
254.918	524.4
255.301	534.4
255.685	532.4
256.068	532.8
256.452	552.8
256.835	536
257.219	539.2
257.603	544.4
257.986	526.4
258.37	537.2
258.754	531.6
259.138	536.6
259.522	546
259.906	529.2
260.29	536.2
260.675	533.6
261.059	537.6
261.443	535
261.828	543
262.212	538.8
262.597	527.2
262.981	529.8
263.366	546.8
263.751	537.4
264.136	531.2
264.521	534.2
264.906	528.6
265.291	544.2
265.676	530.2
266.061	535
266.446	545
266.831	536.4
267.217	553.4
267.602	534.6
267.987	539
268.373	532.4
268.759	544.8
269.144	547.4
269.53	542.6
269.916	530.8
270.302	530.2
270.688	529.8
271.074	539.4
271.46	543.4
271.846	556.6
272.232	534
272.618	532
273.004	544.8
273.391	553.2
273.777	542.2
274.164	545.4
274.55	544.8
274.937	537
275.324	528.6
275.71	537
276.097	539.6
276.484	525.4
276.871	531.8
277.258	539.2
277.645	530.4
278.032	530
278.419	529.4
278.807	543.4
279.194	532.8
279.581	532.8
279.969	529.2
280.356	534.8
280.744	539.8
281.131	550
281.519	553
281.907	540.4
282.295	530.2
282.682	541.8
283.07	535.8
283.458	543.2
283.846	547.4
284.235	551.6
284.623	539.8
285.011	531
285.399	542.6
285.788	541.4
286.176	530.2
286.565	544.2
286.953	528.8
287.342	531.4
287.731	529
288.119	532.2
288.508	530.6
288.897	541.6
289.286	523
289.675	536.8
290.064	545.8
290.453	532
290.821	536.8
291.21	541.2
291.599	531.2
291.989	530
292.378	540
292.768	543.2
293.157	543.4
293.547	541.8
293.936	532.6
294.326	529.2
294.716	538.8
295.106	533.2
295.496	541.6
295.886	539
296.276	534.6
296.666	535
297.056	537
297.446	523.8
297.836	551.4
298.227	533.4
298.617	541.2
299.008	547.2
299.398	532
299.789	528
300.179	538.6
300.57	547
300.961	540
301.352	535
301.742	545.2
302.133	534.6
302.524	535.8
302.915	540
303.307	525
303.698	548.8
304.089	545.6
304.48	535.6
304.872	541.6
305.263	536.2
305.655	534
306.046	544.4
306.438	538
306.829	530.4
307.221	550.2
307.613	537
308.005	547.2
308.397	553.6
308.789	554.6
309.181	562.6
309.573	543.2
309.965	542.4
310.357	530.8
310.749	540.2
311.142	533
311.534	534.2
311.926	538.4
312.319	534.4
312.711	530.4
313.104	548.2
313.497	537.8
313.889	571.6
314.282	547.8
314.675	554.8
315.068	529.8
315.461	535.8
315.854	555
316.247	544.4
316.64	540.6
317.033	531.8
317.405	542.2
317.798	534.4
318.192	532
318.585	526.6
318.979	536.6
319.372	530
319.766	538.2
320.16	540
320.553	546.2
320.947	546.4
321.341	530.8
321.735	530.8
322.129	525.4
322.523	559
322.917	527.6
323.311	547.6
323.705	537.2
324.099	540.4
324.494	550.8
324.888	540.8
325.282	542.8
325.677	551.6
326.071	540.8
326.466	547.2
326.861	539.4
327.255	544.2
327.65	547
328.045	548.8
328.44	538
328.835	534.8
329.23	533.4
329.625	552.6
330.02	534.8
330.415	558.2
330.81	538.4
331.206	542
331.601	537
331.996	545.8
332.37	554.4
332.766	530
333.161	551.2
333.557	531
333.953	533.4
334.348	866.6
334.744	537.4
335.14	538.4
335.536	524
335.932	541.6
336.328	540.6
336.724	547.4
337.12	541
337.516	533.6
337.913	536.6
338.309	552.8
338.705	534.2
339.102	537.6
339.498	533.8
339.895	554.2
340.291	534.4
340.688	546.2
