#lambda/nm	C1
208.295	468.8
208.67	434.2
209.045	393.4
209.419	402.2
209.794	533
210.169	520.2
210.544	630.8
210.919	541.4
211.295	528.4
211.67	537
212.045	531.4
212.421	524.8
212.796	557.4
213.172	530.8
213.547	532.4
213.923	531.8
214.299	532.8
214.675	543.6
215.051	533.6
215.427	538.4
215.803	552.6
216.179	544.6
216.555	530
216.932	543.4
217.308	537
217.684	533.4
218.061	547.6
218.438	547.2
218.814	544.2
219.191	548.4
219.568	528.2
219.945	533
220.322	535.4
220.699	535.4
221.076	545.8
221.453	533.4
221.83	524.6
222.208	530.2
222.585	522
222.962	545.4
223.34	538.4
223.717	529.2
224.095	534
224.473	533.6
224.851	524.4
225.229	527.4
225.607	553.2
225.985	532.2
226.363	536.6
226.741	533.8
227.119	532.8
227.497	537.8
227.876	528.8
228.254	541
228.633	534.4
229.011	539
229.39	539.8
229.769	538.2
230.148	536.2
230.527	556.6
230.905	539.2
231.284	543.4
231.664	535.8
232.043	548.4
232.422	544.2
232.801	536.4
233.181	538.8
233.56	531.4
233.94	535.4
234.319	521.4
234.699	531
235.079	575.6
235.458	570.2
235.838	546.2
236.218	538.6
236.598	537
236.978	521.2
237.358	537.2
237.738	529.2
238.119	541.2
238.499	531
238.88	535.6
239.26	552
239.641	525
240.021	528.8
240.402	526.2
240.783	528
241.163	532.8
241.544	529.8
241.925	534.2
242.306	541
242.687	528.6
243.069	533.8
243.45	546.2
243.831	537.2
244.212	530.6
244.594	562.4
244.975	542.6
245.357	537.4
245.739	529
246.12	532.6
246.502	553
246.884	531
247.266	527.6
247.648	541.6
248.03	552.4
248.412	532.8
248.794	537.4
249.176	532.8
249.559	541.4
249.941	528.2
250.323	529.8
250.706	527
251.089	530.6
251.471	533.2
251.854	537.2
252.237	530.4
252.62	546.6
253.002	537
253.385	532
253.769	546.2
254.152	538
254.535	538.6
254.918	528.4
255.301	531.6
255.685	530.6
256.068	523.8
256.452	551.6
256.835	543.8
257.219	539
257.603	546.6
257.986	522.8
258.37	538.2
258.754	529.6
259.138	534.8
259.522	538.8
259.906	530
260.29	539.8
260.675	535
261.059	538.4
261.443	522.6
261.828	532.8
262.212	541.2
262.597	530.2
262.981	533.2
263.366	541.8
263.751	534.4
264.136	525
264.521	530.2
264.906	532.8
265.291	539
265.676	528.8
266.061	539.6
266.446	548.2
266.831	532
267.217	546.8
267.602	537.6
267.987	540.6
268.373	534.6
268.759	545.2
269.144	542.2
269.53	539.6
269.916	527.2
270.302	532.8
270.688	539.4
271.074	532
271.46	546.8
271.846	553.4
272.232	528.2
272.618	531.6
273.004	532.4
273.391	541
273.777	546.8
274.164	534.4
274.55	543.2
274.937	539.8
275.324	530.6
275.71	539
276.097	535.4
276.484	533.2
276.871	534.6
277.258	533.4
277.645	524.8
278.032	532.4
278.419	531.8
278.807	541.4
279.194	530.2
279.581	527
279.969	543.6
280.356	535.6
280.744	537.8
281.131	557
281.519	548.4
281.907	535.6
282.295	534.8
282.682	547
283.07	540
283.458	544.6
283.846	539.6
284.235	541
284.623	537.2
285.011	528.2
285.399	537.2
285.788	538.6
286.176	530.4
286.565	548.4
286.953	541.2
287.342	523.4
287.731	536.6
288.119	527.8
288.508	525.8
288.897	539.4
289.286	525
289.675	529.6
290.064	543.4
290.453	537.4
290.821	533.8
291.21	546
291.599	533.4
291.989	535.2
292.378	538.4
292.768	548.2
293.157	536
293.547	540.2
293.936	537.2
294.326	530.6
294.716	537.6
295.106	532.2
295.496	545.6
295.886	541.4
296.276	530.4
296.666	533.2
297.056	531.8
297.446	522.4
297.836	552.2
298.227	545
298.617	531.6
299.008	547
299.398	536.2
299.789	533.4
300.179	540.8
300.57	546
300.961	538.8
301.352	536
301.742	542.4
302.133	537.8
302.524	537.8
302.915	536.8
303.307	536.8
303.698	547.6
304.089	537
304.48	537.8
304.872	544.4
305.263	535.4
305.655	530
306.046	530.4
306.438	535.8
306.829	519.4
307.221	545.8
307.613	540.6
308.005	543
308.397	538.8
308.789	545.4
309.181	559.2
309.573	539.4
309.965	540.6
310.357	534.4
310.749	546
311.142	529
311.534	532.8
311.926	545.6
312.319	536.4
312.711	526.4
313.104	538
313.497	535.4
313.889	577
314.282	546.6
314.675	562
315.068	535.2
315.461	549.2
315.854	554
316.247	540.4
316.64	541.6
317.033	540.4
317.405	545.2
317.798	537.4
318.192	534.8
318.585	527.8
318.979	535.6
319.372	524.2
319.766	537.8
320.16	538.2
320.553	547
320.947	547.4
321.341	529.8
321.735	532
322.129	520.2
322.523	552.8
322.917	526.4
323.311	540.8
323.705	533.2
324.099	534.6
324.494	544
324.888	546.4
325.282	528.2
325.677	547.4
326.071	550.8
326.466	541.6
326.861	534.8
327.255	547
327.65	547
328.045	545.4
328.44	538.4
328.835	531.6
329.23	542.4
329.625	555
330.02	536
330.415	556
330.81	537.2
331.206	536.2
331.601	532.4
331.996	542
332.37	552.4
332.766	522.2
333.161	560.8
333.557	530.8
333.953	532.6
334.348	841.8
334.744	530.2
335.14	533.6
335.536	525.8
335.932	544.6
336.328	534.2
336.724	539.4
337.12	536.8
337.516	540.2
337.913	536.8
338.309	543.8
338.705	524.8
339.102	548.2
339.498	531.8
339.895	545.6
340.291	529.4
340.688	541.6
341.085	525.2
341.481	543.4
341.878	533.6
342.275	554.2
342.672	525.4
343.069	521
343.466	522.4
343.842	545
344.239	526
344.636	533
345.033	534.4
345.431	524.6
345.828	531.6
346.225	531.2
346.623	560.4
347.02	542.8
347.418	534.6
347.816	549
348.213	530.6
348.611	539
349.009	535.4
349.407	542
349.805	526.6
350.203	522
350.601	541.4
350.999	535.6
351.397	592.8
351.795	537.2
352.193	534.8
352.57	544.8
352.969	541.2
353.367	522
353.766	525
354.164	534.8
354.563	541.6
354.961	531
355.36	536.2
355.759	531.6
356.158	522.2
356.557	521.4
356.956	524.6
357.355	519.2
357.754	522.6
358.153	533
358.552	543.2
358.951	530.6
359.35	548.2
359.75	526
360.149	526.6
