#lambda/nm	C1
208.295	467
208.67	432.8
209.045	395.2
209.419	399.4
209.794	542
210.169	521.6
210.544	627.2
210.919	534
211.295	527.6
211.67	536.6
212.045	533
212.421	529.6
212.796	562.2
213.172	532.2
213.547	527.4
213.923	541.4
214.299	527.4
214.675	538.6
215.051	544.2
215.427	547.6
215.803	553.8
216.179	543.2
216.555	532.2
216.932	551.6
217.308	535.6
217.684	535.6
218.061	537
218.438	539.2
218.814	529.2
219.191	539.6
219.568	531.4
219.945	537.2
220.322	539.8
220.699	543.6
221.076	541.6
221.453	532.6
221.83	530
222.208	531.8
222.585	524.2
222.962	538.6
223.34	544
223.717	535.8
224.095	540.2
224.473	543.8
224.851	531.2
225.229	534.8
225.607	543.6
225.985	530.8
226.363	538.2
226.741	537.6
227.119	532.8
227.497	545
227.876	527.4
228.254	545.2
228.633	551
229.011	534.8
229.39	543.4
229.769	534.6
230.148	547.6
230.527	552.6
230.905	532.2
231.284	543.8
231.664	530.6
232.043	542
232.422	544.6
232.801	532.2
233.181	543.4
233.56	529.4
233.94	535
234.319	529.2
234.699	533.4
235.079	571.6
235.458	558
235.838	547.6
236.218	530.6
236.598	529.4
236.978	526.2
237.358	534
237.738	531.4
238.119	543.6
238.499	529.4
238.88	536.4
239.26	550.2
239.641	527.4
240.021	532.8
240.402	536.2
240.783	533.6
241.163	538.2
241.544	536.6
241.925	532
242.306	550.8
242.687	532
243.069	546
243.45	546.8
243.831	539.6
244.212	534.8
244.594	574
244.975	539.8
245.357	543.4
245.739	524.6
246.12	535
246.502	550.8
246.884	537
247.266	533.6
247.648	542.6
248.03	553.4
248.412	538.6
248.794	541.8
249.176	537.6
249.559	541.2
249.941	525.2
250.323	521.2
250.706	531.8
251.089	535.4
251.471	543.8
251.854	534.8
252.237	534.2
252.62	543.2
253.002	535.2
253.385	537.2
253.769	543.8
254.152	534.6
254.535	534.6
254.918	533
255.301	530.8
255.685	530.4
256.068	527.4
256.452	556.8
256.835	538.4
257.219	540
257.603	546.4
257.986	530.4
258.37	537.8
258.754	523.6
259.138	540.6
259.522	539.2
259.906	542.2
260.29	540.6
260.675	536.4
261.059	540.2
261.443	533.6
261.828	540.6
262.212	543.4
262.597	532.6
262.981	536
263.366	543.6
263.751	533.8
264.136	530.6
264.521	533.2
264.906	532.8
265.291	547.8
265.676	530.4
266.061	540
266.446	545.6
266.831	537.4
267.217	546.6
267.602	540
267.987	532
268.373	534
268.759	538.4
269.144	533.4
269.53	543.8
269.916	532.4
270.302	541.2
270.688	547.6
271.074	543.4
271.46	549
271.846	562.6
272.232	540
272.618	530.8
273.004	536.6
273.391	545.2
273.777	542.2
274.164	536.2
274.55	550.4
274.937	536.4
275.324	533.8
275.71	539.8
276.097	545
276.484	521.8
276.871	537.4
277.258	538.4
277.645	529
278.032	540.2
278.419	529.2
278.807	530.2
279.194	521.8
279.581	527.8
279.969	546
280.356	540
280.744	540.2
281.131	552
281.519	539.2
281.907	530.6
282.295	534
282.682	542.8
283.07	528.4
283.458	539
283.846	550.2
284.235	546.2
284.623	540
285.011	526.4
285.399	541.4
285.788	532.6
286.176	529.2
286.565	542.8
286.953	536.8
287.342	527
287.731	528.4
288.119	535.4
288.508	530.4
288.897	546.4
289.286	527.8
289.675	532.6
290.064	544.4
290.453	539.4
290.821	534
291.21	545.6
291.599	534
291.989	532.6
292.378	542.6
292.768	558.8
293.157	547.4
293.547	545.8
293.936	524
294.326	535.4
294.716	534.4
295.106	529.2
295.496	539.2
295.886	538.2
296.276	541.2
296.666	531.2
297.056	524.2
297.446	528.2
297.836	539.8
298.227	533.6
298.617	537.2
299.008	545.2
299.398	530.2
299.789	527.4
300.179	538.4
300.57	547.4
300.961	531
301.352	529.8
301.742	542.2
302.133	529.6
302.524	534.2
302.915	533
303.307	533.6
303.698	547.2
304.089	548.2
304.48	540.8
304.872	540.8
305.263	538.8
305.655	525
306.046	544.6
306.438	537.6
306.829	531.6
307.221	546
307.613	537.6
308.005	540.8
308.397	541.2
308.789	555
309.181	554
309.573	545.2
309.965	556.8
310.357	533.4
310.749	546.8
311.142	530.8
311.534	530.6
311.926	538
312.319	538.2
312.711	538.4
313.104	546.4
313.497	541.2
313.889	569.2
314.282	548.8
314.675	557.4
315.068	533.2
315.461	544
315.854	564.2
316.247	542.4
316.64	538.2
317.033	540
317.405	541.8
317.798	539.6
318.192	538
318.585	535.8
318.979	548.8
319.372	530.8
319.766	543.4
320.16	546.2
320.553	542
320.947	554.6
321.341	540.2
321.735	530.4
322.129	520.4
322.523	557.4
322.917	529.4
323.311	549
323.705	541.4
324.099	549.8
324.494	544
324.888	540
325.282	532.8
325.677	542.8
326.071	543.2
326.466	545.2
326.861	542.4
327.255	550.2
327.65	551.2
328.045	553
328.44	545.4
328.835	533.8
329.23	531.8
329.625	555.8
330.02	534.8
330.415	556.2
330.81	538.8
331.206	537
331.601	533.8
331.996	549.6
332.37	555.8
332.766	525.2
333.161	559
333.557	535.2
333.953	535.2
334.348	870.4
334.744	536.6
335.14	527
335.536	529
335.932	540.8
336.328	534.8
336.724	541.8
337.12	532
337.516	543
337.913	537
338.309	552.4
338.705	537.4
339.102	547.8
339.498	533
339.895	550.8
340.291	528.2
340.688	544
341.085	532.2
341.481	541.6
341.878	538.6
342.275	551.6
342.672	533.4
343.069	536.6
343.466	527.6
343.842	542
344.239	539.6
344.636	535.6
345.033	529.8
345.431	525.4
345.828	531.4
346.225	530.4
346.623	553.8
347.02	529
347.418	543.8
347.816	537.8
348.213	525.8
348.611	540.2
349.009	527.8
349.407	543.4
349.805	529.4
350.203	531.4
350.601	541.4
350.999	532.8
351.397	567.8
351.795	531.6
352.193	540.4
352.57	539
352.969	536.4
353.367	526.6
353.766	528
354.164	538.2
354.563	539.8
354.961	535.8
355.36	528.4
355.759	541.6
356.158	527.2
356.557	529.2
356.956	528
357.355	519.2
357.754	527.6
358.153	536.6
358.552	555.2
358.951	531
359.35	542.2
359.75	533
360.149	521.8
360.527	527
360.926	526.4
361.326	528.6
361.726	529.8
362.125	523
362.525	537.4
362.925	533.6
363.325	539.8
363.724	528.6
364.124	525.6
364.524	531.2
364.924	539.4
365.324	536.2
365.725	517.4
366.125	533.2
366.525	530.6
366.904	524.2
367.304	524.6
367.705	545.8
368.105	545.4
368.506	529.8
368.906	532.4
369.307	528.6
369.708	536.6
370.108	517.4
370.509	540.4
370.91	529.8
371.311	536.4
371.712	522.6
372.113	521.6
372.514	517.2
372.894	527.2
373.295	514.6
373.696	534.2
374.097	535.2
374.499	560.8
374.9	524.4
375.301	519.2
375.703	527
376.105	524.2
376.506	534.8
376.908	527.6
377.309	524.4
377.711	528.2
378.113	529
378.493	524.8
378.895	528.8
379.297	538.2
379.699	519
380.102	537.8
380.504	532.8
380.906	529.2
381.308	546.6
381.71	528.6
382.113	538.4
382.515	527.2
382.918	525.6
383.299	533.2
383.701	535.8
384.104	522.6
384.507	511.6
384.909	533.4
385.312	522.6
385.715	524.4
386.118	525.4
386.521	524.4
386.924	530.6
387.327	519.8
387.709	517.6
388.112	515.2
388.515	521.4
388.918	521
389.322	529.6
389.725	527.2
390.129	543.4
390.532	523.6
390.936	525.6
391.339	520.8
391.743	521.2
392.125	523.4
392.529	536.2
392.933	538.6
393.337	530.8
393.74	533.8
394.144	532.8
394.548	526.4
394.953	536
395.357	529.4
395.761	525
396.144	526.6
396.548	519
396.952	522.2
397.357	526
397.761	520.6
398.166	523.6
398.57	526
398.975	521.2
399.379	527.2
399.763	567.4
400.168	527.2
400.572	526.4
400.977	518.8
401.382	539.6
401.787	538
402.192	541.4
402.597	544.4
403.002	515.2
403.386	535.6
403.791	544.8
404.197	525.2
404.602	524.8
405.007	529
405.413	523.2
405.818	532.2
406.224	520.4
406.608	524
407.014	522.4
407.42	536
407.825	516.6
408.231	532
408.637	523.4
409.043	535.6
409.449	522.8
409.834	522.6
410.24	527.8
410.646	531.6
411.052	537.4
411.458	527
411.865	535
412.271	539
412.677	524.2
413.062	537
413.469	527
413.875	540.6
414.282	544
414.689	530
415.095	538.6
415.502	527.6
415.888	530.4
416.294	513.6
416.701	566.2
417.108	524.2
417.515	533.8
417.923	521.8
418.33	546.8
418.715	538.2
419.123	526.4
419.53	528.2
419.937	532
420.345	544.4
420.752	525.2
421.16	540.6
421.546	530.8
421.953	541.2
422.361	529.8
422.769	532.2
423.177	518.4
423.585	549.4
423.992	537.2
424.379	541.2
424.787	532.8
425.195	548.6
425.603	537.6
426.011	542.2
426.419	537.2
426.806	527.8
427.214	527.8
427.623	541.8
428.031	547.2
428.44	535.2
428.848	542.2
429.235	542.8
429.644	539
430.053	529.6
430.461	543.2
430.87	552.6
431.279	538.8
431.666	525
432.075	524.8
432.484	537
432.893	530.6
433.302	533.2
433.711	555.6
434.099	529.6
434.508	522.8
434.918	520.4
435.327	536.4
435.737	521
436.125	526.6
436.534	535
436.944	527
437.353	530
437.763	544.2
438.173	522.2
438.561	533.4
438.971	509.2
439.381	523.4
439.791	527.8
440.201	513
440.589	532
440.999	530.4
441.409	517
441.819	522.8
442.23	530
442.619	528.4
443.029	532.6
443.439	529.2
443.85	532.4
444.26	537.2
444.649	531
445.06	523
445.471	521
445.881	526.8
446.292	533.4
446.682	548.8
447.092	515.2
447.503	568.6
447.914	532.2
448.325	527
448.715	531.6
449.126	518.6
449.537	530.2
449.948	526.6
450.338	525.2
450.75	531.4
451.161	522
451.572	532.6
451.984	522.6
452.374	515.8
452.786	530.4
453.197	532
453.609	530.4
453.999	515.2
454.411	515.2
454.823	538.8
455.235	524
455.647	526.8
456.037	532.4
456.449	526
456.862	527.6
457.274	529.6
457.665	523.2
458.077	525.6
458.489	544.6
458.902	525.8
459.293	523.8
459.705	523.8
460.118	523.2
460.53	525.6
460.921	522.2
461.334	530.8
461.747	524
462.16	537.6
462.551	538.4
462.964	534
463.377	518.8
463.79	519.4
464.182	526.8
464.595	518.8
465.008	525.2
465.421	517.2
465.813	515.4
466.226	526.2
466.64	522.2
467.053	557.4
467.445	539.6
467.859	539.6
468.272	523
