#lambda/nm	C1
208.295	471.2
208.67	433.6
209.045	397.4
209.419	402.4
209.794	539.8
210.169	529.4
210.544	622.4
210.919	538
211.295	528.8
211.67	546
212.045	534.2
212.421	534.8
212.796	567.2
213.172	533.6
213.547	534.2
213.923	530
214.299	539.8
214.675	546.2
215.051	543
215.427	541.2
215.803	548.6
216.179	538.6
216.555	542.4
216.932	551.6
217.308	537.4
217.684	536.2
218.061	540.2
218.438	544.4
218.814	540.4
219.191	546.6
219.568	525.8
219.945	530
220.322	546.8
220.699	547
221.076	542.8
221.453	540.4
221.83	528
222.208	533.4
222.585	528.8
222.962	535.2
223.34	535.4
223.717	543.2
224.095	533.4
224.473	533
224.851	536
225.229	528.8
225.607	553
225.985	526.2
226.363	540.8
226.741	537.6
227.119	535.2
227.497	550.6
227.876	521.4
228.254	544
228.633	540.2
229.011	536
229.39	537.2
229.769	534
230.148	546
230.527	557.6
230.905	538.2
231.284	540
231.664	528.4
232.043	543
232.422	548
232.801	529.4
233.181	541
233.56	533.2
233.94	539
234.319	527.2
234.699	539.4
235.079	567.4
235.458	569.2
235.838	543.2
236.218	532.2
236.598	528.4
236.978	534
237.358	530
237.738	529
238.119	548
238.499	523.8
238.88	537
239.26	550.8
239.641	521.8
240.021	531.4
240.402	536.4
240.783	539
241.163	528.2
241.544	536.8
241.925	541.4
242.306	544.4
242.687	529.4
243.069	543.2
243.45	550.4
243.831	534
244.212	531.4
244.594	564.6
244.975	539.8
245.357	544
245.739	526
246.12	540.6
246.502	538.6
246.884	530.2
247.266	524
247.648	544.6
248.03	552.2
248.412	535.6
248.794	539.6
249.176	534
249.559	544.6
249.941	536.2
250.323	530.2
250.706	532.6
251.089	539.2
251.471	536.8
251.854	538.6
252.237	535
252.62	553.8
253.002	535.8
253.385	534.6
253.769	548.8
254.152	539.6
254.535	547
254.918	536.6
255.301	535.6
255.685	527.4
256.068	528
256.452	559.8
256.835	538.2
257.219	535
257.603	543.6
257.986	525
258.37	531.2
