#lambda/nm	C1
208.295	468.4
208.67	436.2
209.045	395.4
209.419	400
209.794	535.6
210.169	521
210.544	622.4
210.919	529.4
211.295	523
211.67	531.4
212.045	524.2
212.421	522.4
212.796	559.2
213.172	533.2
213.547	527
213.923	541.6
214.299	527.6
214.675	542
215.051	537
215.427	543.8
215.803	554
216.179	544.4
216.555	527
216.932	535.8
217.308	540
217.684	532
218.061	537.6
218.438	530.8
218.814	526.6
219.191	539.6
219.568	527.8
219.945	524.4
220.322	535.4
220.699	535.4
221.076	539.2
221.453	533
221.83	524.6
222.208	527.8
222.585	529.8
222.962	532.2
223.34	536.4
223.717	529.2
224.095	525.2
224.473	534.4
224.851	525.8
225.229	521.6
225.607	545.4
225.985	520
226.363	531.8
226.741	532.2
227.119	529.4
227.497	541.4
227.876	526.6
228.254	538.8
228.633	531.6
229.011	531.2
229.39	541.6
229.769	536.2
230.148	539
230.527	544
230.905	529.8
231.284	534.6
231.664	531.2
232.043	531.2
232.422	534.8
232.801	520.6
233.181	536
233.56	533.6
233.94	530
234.319	520.6
234.699	527.2
235.079	563.6
235.458	562.4
235.838	540.2
236.218	522.8
236.598	515.8
236.978	525.4
237.358	522.4
237.738	531.4
238.119	533.2
238.499	513
238.88	534.6
239.26	547.2
239.641	526.6
240.021	529.8
240.402	524.8
240.783	529.8
241.163	529.6
241.544	535.8
241.925	532
242.306	545.6
242.687	527.2
243.069	535.2
243.45	546
243.831	533.6
244.212	534.2
244.594	561.6
244.975	540.8
245.357	531.2
245.739	525
246.12	536
246.502	549.2
246.884	532
247.266	530.4
247.648	531.8
248.03	553.4
248.412	532.8
248.794	542
249.176	526.2
249.559	546.4
249.941	521.8
250.323	528.2
250.706	530
251.089	531.6
251.471	539.4
251.854	539.6
252.237	541.8
252.62	533.6
253.002	534.8
253.385	532.4
253.769	539
254.152	538.4
254.535	539.6
254.918	523.6
255.301	533.6
255.685	526
256.068	525
256.452	554.2
256.835	545.2
257.219	543.2
257.603	547
257.986	529.6
258.37	530.2
258.754	529
259.138	538.4
259.522	539.2
259.906	531.6
260.29	540.6
260.675	526.2
261.059	535.4
261.443	522.6
261.828	532.2
262.212	534.8
262.597	522.6
262.981	528.8
263.366	538.8
263.751	533.2
264.136	524.6
264.521	525.6
264.906	529.6
265.291	543.6
265.676	529
266.061	539.4
266.446	553.2
266.831	534.6
267.217	550.2
267.602	536.4
267.987	539.2
268.373	532.4
268.759	535.8
269.144	536
269.53	532.4
269.916	528
270.302	530.6
270.688	531.8
271.074	531.8
271.46	542.4
271.846	559.6
272.232	530.4
272.618	532.6
273.004	534.4
273.391	545.2
273.777	541.4
274.164	538.6
274.55	542.2
274.937	534.8
275.324	529.6
275.71	535.2
276.097	539.4
276.484	528.4
276.871	535.6
277.258	538.4
277.645	517.6
278.032	530
278.419	531.6
278.807	535.4
279.194	527
279.581	531.8
279.969	536.2
280.356	538.6
280.744	529.6
281.131	554.2
281.519	538.2
281.907	532.6
282.295	534.4
282.682	541.4
283.07	529.2
283.458	539.2
283.846	545
284.235	541.6
284.623	541.2
285.011	529.8
285.399	537.6
285.788	533.8
286.176	529.8
286.565	543.2
286.953	531.2
287.342	533.2
287.731	532
288.119	531
288.508	532.4
288.897	538.4
289.286	523.4
289.675	529.6
290.064	540
290.453	534.2
290.821	536.2
291.21	545.8
291.599	527.8
291.989	535.8
292.378	544.4
292.768	545.6
293.157	537
293.547	540.6
293.936	527.2
294.326	527.2
294.716	536.8
295.106	536.4
295.496	537.2
295.886	536.6
296.276	531
296.666	525.2
297.056	524.6
297.446	525
297.836	542.6
298.227	535
298.617	528.4
299.008	542
299.398	531.6
299.789	532.4
300.179	533.4
300.57	538.4
300.961	522.4
301.352	530.2
301.742	540.4
302.133	531
302.524	531.2
302.915	526
303.307	525
303.698	539
304.089	537.6
304.48	531.6
304.872	529
305.263	525.6
305.655	523
306.046	537.4
306.438	532.2
306.829	521.8
307.221	543.2
307.613	534.6
308.005	536.6
308.397	537.4
308.789	553.6
309.181	549.4
309.573	547.2
309.965	541.6
310.357	522
310.749	545.6
311.142	531.6
311.534	526.4
311.926	537.2
312.319	533.6
312.711	526.4
313.104	540.6
313.497	529.4
313.889	563
314.282	548.4
314.675	549.6
315.068	537.6
315.461	536.2
315.854	558.8
