#lambda/nm	C1
208.295	466.6
208.67	435.4
209.045	398.6
209.419	397.2
209.794	542.4
210.169	523
210.544	620.4
210.919	537.8
211.295	519.6
211.67	535.8
212.045	528.2
212.421	532.6
212.796	561.6
213.172	524
213.547	532.4
213.923	521.8
214.299	526.6
214.675	530.4
215.051	536.4
215.427	535.4
215.803	547.2
216.179	530.8
216.555	531.6
216.932	547.8
217.308	532.2
217.684	529.8
218.061	533
218.438	525.2
218.814	523.2
219.191	538.6
219.568	526.6
219.945	530.6
220.322	537.2
220.699	529
221.076	544
221.453	541.6
221.83	520.4
222.208	526.2
222.585	529.8
222.962	528
223.34	536.4
223.717	535.6
224.095	533.8
224.473	531.8
224.851	528
225.229	522.2
225.607	544.4
225.985	529.6
226.363	533.6
226.741	533.4
227.119	530.6
227.497	540.8
227.876	526.2
228.254	545.8
228.633	534
229.011	537.4
229.39	534.8
229.769	537.6
230.148	525.6
230.527	551.6
230.905	530
231.284	526.2
231.664	522.8
232.043	538.8
232.422	534
232.801	527.6
233.181	535.8
233.56	526.6
233.94	529.4
234.319	521.4
234.699	529.2
235.079	567.8
235.458	560.8
235.838	549
236.218	530.6
236.598	526.8
236.978	525.4
237.358	527.6
237.738	524.2
238.119	538
238.499	522
238.88	527
239.26	539.4
239.641	516.2
240.021	538.2
240.402	529.2
240.783	526
241.163	532
241.544	537.2
241.925	530.4
242.306	539.8
242.687	520
243.069	540.6
243.45	534.6
243.831	525
244.212	534.2
244.594	556.2
244.975	540.6
245.357	540
245.739	529.8
246.12	530.8
246.502	540.4
246.884	533
247.266	534.2
247.648	537.6
248.03	546
248.412	532
248.794	533.8
249.176	523.8
249.559	542
249.941	529.2
250.323	526.8
250.706	520.6
251.089	533.2
251.471	532.2
251.854	534.8
252.237	530.6
252.62	537.6
253.002	530.4
253.385	525
253.769	545.6
254.152	532.8
254.535	530
254.918	520.8
255.301	535.4
255.685	532
256.068	523.6
256.452	549.8
256.835	541
257.219	527.4
257.603	537
257.986	518.2
258.37	537.2
258.754	528.6
259.138	542.2
259.522	538
259.906	535
260.29	536
260.675	531.2
261.059	532
261.443	517.4
261.828	534.2
262.212	531.4
262.597	521.6
262.981	528.8
263.366	535.8
263.751	533.8
264.136	532.6
264.521	531.2
264.906	522.2
265.291	542.8
265.676	522.2
266.061	543.8
266.446	545.6
266.831	528.2
267.217	545.8
267.602	537.4
267.987	534.2
268.373	535.8
268.759	542
269.144	536.2
269.53	533.6
269.916	528.6
270.302	534.4
270.688	536
271.074	533.4
271.46	536.8
