#1D 255 -512.000000 260608.000000	[nbin xmin xmax]
#"X"	"Function_0"
0.000000	3.874662
1024.000000	4.911946
2048.000000	7.578604
3072.000000	10.537464
4096.000000	12.993516
5120.000000	16.754219
6144.000000	20.189688
7168.000000	23.796563
8192.000000	26.175078
9216.000000	30.164453
10240.000000	33.367656
11264.000000	36.106094
12288.000000	39.133672
13312.000000	42.585000
14336.000000	46.472031
15360.000000	49.678984
16384.000000	52.709766
17408.000000	56.330234
18432.000000	58.313125
19456.000000	61.396641
20480.000000	65.033281
21504.000000	68.392734
22528.000000	71.058516
23552.000000	73.736563
24576.000000	76.420156
25600.000000	79.985234
26624.000000	82.435312
27648.000000	85.820078
28672.000000	88.650547
29696.000000	91.079688
30720.000000	94.300859
31744.000000	96.939688
32768.000000	99.318125
33792.000000	103.067188
34816.000000	105.793437
35840.000000	108.208828
36864.000000	110.196328
37888.000000	112.878438
38912.000000	116.494531
39936.000000	119.452187
40960.000000	120.513516
41984.000000	123.857656
43008.000000	126.059922
44032.000000	128.080391
45056.000000	130.692031
46080.000000	133.230547
47104.000000	135.720547
48128.000000	137.724219
49152.000000	140.188516
50176.000000	142.854531
51200.000000	145.306875
52224.000000	147.648516
53248.000000	149.475078
54272.000000	151.425312
55296.000000	154.685156
56320.000000	156.750547
57344.000000	157.876328
58368.000000	160.120469
59392.000000	161.998984
60416.000000	164.794844
61440.000000	166.113828
62464.000000	168.188594
63488.000000	170.097734
64512.000000	171.825703
65536.000000	174.371328
66560.000000	176.315937
67584.000000	177.921875
68608.000000	179.800938
69632.000000	181.869062
70656.000000	183.445547
71680.000000	185.010391
72704.000000	186.625859
73728.000000	188.545312
74752.000000	189.984531
75776.000000	191.225625
76800.000000	193.230156
77824.000000	194.798906
78848.000000	196.241719
79872.000000	198.059297
80896.000000	199.280859
81920.000000	201.161641
82944.000000	202.090781
83968.000000	203.699531
84992.000000	204.900469
86016.000000	206.529688
87040.000000	207.981875
88064.000000	209.028750
89088.000000	210.673203
90112.000000	211.792266
91136.000000	212.986328
92160.000000	214.418047
93184.000000	215.856875
94208.000000	216.896406
95232.000000	217.865312
96256.000000	219.102344
97280.000000	220.665703
98304.000000	221.659453
99328.000000	222.903594
100352.000000	223.582031
101376.000000	224.724609
102400.000000	225.959922
103424.000000	226.860859
104448.000000	227.642266
105472.000000	228.568359
106496.000000	229.588906
107520.000000	230.600156
108544.000000	231.536172
109568.000000	232.489453
110592.000000	233.269688
111616.000000	233.932500
112640.000000	234.887500
113664.000000	235.612891
114688.000000	236.496172
