#1D 255 -512.000000 260608.000000	[nbin xmin xmax]
#"X"	"Function_0"
0.000000	1.550178
1024.000000	4.051892
2048.000000	7.181563
3072.000000	10.555469
4096.000000	14.008906
5120.000000	17.236328
6144.000000	20.676875
7168.000000	23.951719
8192.000000	26.963203
9216.000000	30.571719
10240.000000	33.642500
11264.000000	36.548125
12288.000000	40.254844
13312.000000	43.643984
14336.000000	46.915156
15360.000000	50.525000
16384.000000	53.171406
17408.000000	56.698750
18432.000000	59.985547
19456.000000	63.104922
20480.000000	65.988359
21504.000000	69.102109
22528.000000	72.749375
23552.000000	75.715781
24576.000000	78.845156
25600.000000	81.561328
26624.000000	84.699609
27648.000000	87.681797
28672.000000	90.621016
29696.000000	93.578984
30720.000000	96.701797
31744.000000	99.586094
32768.000000	102.709375
33792.000000	105.279609
34816.000000	108.080234
35840.000000	110.974453
36864.000000	113.738750
37888.000000	116.411328
38912.000000	119.189453
39936.000000	122.014766
40960.000000	124.416328
41984.000000	127.016641
43008.000000	129.424609
44032.000000	131.927109
45056.000000	134.693906
46080.000000	136.821484
47104.000000	139.555312
48128.000000	142.142812
49152.000000	144.628750
50176.000000	146.856250
51200.000000	149.396484
52224.000000	151.521641
53248.000000	153.975391
54272.000000	156.204375
55296.000000	158.368203
56320.000000	160.492188
57344.000000	162.597656
58368.000000	164.769375
59392.000000	167.019844
60416.000000	169.059609
61440.000000	171.006172
62464.000000	173.085078
63488.000000	174.931562
64512.000000	177.187969
65536.000000	179.482344
66560.000000	181.286563
67584.000000	183.171562
68608.000000	185.038984
69632.000000	186.645234
70656.000000	188.603047
71680.000000	190.261875
72704.000000	191.811563
73728.000000	193.715313
74752.000000	195.401406
75776.000000	197.176797
76800.000000	198.416328
77824.000000	200.123672
78848.000000	201.749297
79872.000000	203.254375
80896.000000	204.908984
81920.000000	206.388672
82944.000000	207.747266
83968.000000	209.081719
84992.000000	210.430937
86016.000000	211.874219
87040.000000	213.335781
88064.000000	214.717031
89088.000000	216.037266
90112.000000	217.195547
91136.000000	218.587734
92160.000000	219.737031
93184.000000	220.908203
94208.000000	222.123828
95232.000000	223.183203
96256.000000	224.388203
97280.000000	225.469844
98304.000000	226.724531
99328.000000	227.664375
100352.000000	228.792266
101376.000000	229.756406
102400.000000	230.741172
103424.000000	231.763984
104448.000000	232.667188
105472.000000	233.533125
106496.000000	234.423203
107520.000000	235.452188
108544.000000	236.361406
109568.000000	237.075859
110592.000000	238.124453
111616.000000	238.867656
112640.000000	239.781875
113664.000000	240.517891
114688.000000	241.332734
115712.000000	242.173125
116736.000000	242.930625
117760.000000	243.542578
118784.000000	244.323906
119808.000000	244.963203
120832.000000	245.642812
121856.000000	246.337969
122880.000000	246.822109
123904.000000	247.498516
124928.000000	247.973047
125952.000000	248.626641
126976.000000	249.259766
128000.000000	249.627734
129024.000000	250.248437
130048.000000	250.606172
131072.000000	251.161406
132096.000000	251.697734
133120.000000	252.217578
134144.000000	252.649453
135168.000000	253.062891
136192.000000	253.489609
137216.000000	253.900000
138240.000000	254.404531
139264.000000	254.867500
140288.000000	255.173906
141312.000000	255.582734
142336.000000	256.003828
143360.000000	256.429141
144384.000000	256.736406
145408.000000	257.131641
146432.000000	257.348437
147456.000000	257.795156
148480.000000	258.095625
149504.000000	258.390781
150528.000000	258.787734
151552.000000	259.034141
152576.000000	259.223594
153600.000000	259.660859
154624.000000	259.844297
155648.000000	260.244922
156672.000000	260.553594
157696.000000	260.810703
158720.000000	261.097656
159744.000000	261.296016
160768.000000	261.385156
161792.000000	261.638359
162816.000000	261.895625
163840.000000	262.162422
164864.000000	262.442031
165888.000000	262.771094
166912.000000	262.951406
167936.000000	263.041094
168960.000000	263.192422
169984.000000	263.411875
171008.000000	263.488516
172032.000000	263.759766
173056.000000	263.939531
174080.000000	264.155781
175104.000000	264.237266
176128.000000	264.530312
177152.000000	264.686797
178176.000000	264.840547
179200.000000	264.971094
180224.000000	265.205391
181248.000000	265.148984
182272.000000	265.429453
183296.000000	265.367500
184320.000000	265.652188
185344.000000	265.773984
186368.000000	265.904531
187392.000000	266.064531
188416.000000	266.264688
189440.000000	266.324453
190464.000000	266.526484
191488.000000	266.475859
192512.000000	266.926484
193536.000000	266.849453
194560.000000	267.064531
195584.000000	267.079141
196608.000000	267.355859
197632.000000	267.378906
198656.000000	267.404844
199680.000000	267.467734
200704.000000	267.447344
201728.000000	267.596953
202752.000000	267.667812
203776.000000	267.849375
204800.000000	267.810078
205824.000000	267.894922
206848.000000	267.958672
207872.000000	267.992578
208896.000000	268.106797
209920.000000	268.110625
210944.000000	268.193750
211968.000000	268.247656
212992.000000	268.272578
214016.000000	268.369687
215040.000000	268.484531
216064.000000	268.415781
217088.000000	268.538828
218112.000000	268.535156
219136.000000	268.555391
220160.000000	268.643437
221184.000000	268.723828
222208.000000	268.700937
223232.000000	268.733281
224256.000000	268.771875
225280.000000	268.783359
226304.000000	268.747266
227328.000000	268.969922
228352.000000	268.927812
229376.000000	269.041250
230400.000000	269.029219
231424.000000	269.027578
232448.000000	269.063750
233472.000000	269.132969
234496.000000	269.080156
235520.000000	269.184062
236544.000000	269.111094
237568.000000	269.226563
238592.000000	269.154297
239616.000000	269.305859
240640.000000	269.171797
241664.000000	269.288594
242688.000000	269.240156
243712.000000	269.293672
244736.000000	269.252734
245760.000000	269.434219
246784.000000	269.360234
247808.000000	269.480859
248832.000000	269.416953
249856.000000	269.509922
250880.000000	269.486406
251904.000000	269.495938
252928.000000	269.598203
253952.000000	269.570625
254976.000000	269.623906
256000.000000	269.474297
257024.000000	269.557266
258048.000000	269.743203
259072.000000	269.612188
260096.000000	269.577031
