#1D 32 -4.000000 252.000000	[nbin xmin xmax]
#"X"	"Function_0"
0.000000	71.826641
8.000000	75.334063
16.000000	79.521953
24.000000	84.419687
32.000000	87.540391
40.000000	91.683281
48.000000	95.098047
56.000000	96.675781
64.000000	97.741719
72.000000	94.893438
80.000000	84.984844
88.000000	67.156406
96.000000	37.892734
104.000000	7.291797
112.000000	1.763154
120.000000	1.528962
128.000000	1.462611
136.000000	1.550628
144.000000	1.616516
152.000000	1.602639
160.000000	1.573365
168.000000	1.553216
176.000000	1.576530
184.000000	1.526020
192.000000	1.594423
200.000000	1.450859
208.000000	1.850342
216.000000	1.513330
224.000000	1.626234
232.000000	1.586202
240.000000	1.794892
248.000000	1.561066
